chromosome	start	end	RE	TSS_RE	Activity_H3K27ac	H3K4me1_rank	H3K4me3_rank	H3K27ac_rank	CTCF_rank	H3K4me1_auc	H3K4me3_auc	H3K27ac_auc	CTCF_auc
chr1	201475827	201477106	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	243040.65491485596	0.0	678540.6684112549	0.0
chr1	209655485	209656448	Enhancer	Promoter	Active	2.0	3.0	1.0	4.0	304082.8532333374	0.0	1152413.8103179932	0.0
chr1	151568434	151569323	Enhancer	Enhancer	Inactive	1.0	2.0	3.0	4.0	273239.3694572449	0.0	0.0	0.0
chr1	151546930	151548287	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	349934.992225647	0.0	356170.028427124	0.0
chr1	93693862	93695345	Enhancer	Promoter	Active	2.0	3.0	1.0	4.0	358275.32817077637	0.0	532748.4298820496	0.0
chr1	43206574	43207670	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	166042.84159469604	0.0	595633.5481567383	0.0
chr1	150567753	150569621	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	322758.10417175293	0.0	848813.5895462036	0.0
chr1	54970673	54971884	Enhancer	Promoter	Active	2.0	3.0	1.0	4.0	326323.92320251465	0.0	517197.4113521576	0.0
chr1	180167816	180169319	Enhancer/CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	280471.82652282715	0.0	0.0	550599.1666545868
chr1	208207303	208208548	Enhancer	Promoter	Inactive	1.0	2.0	3.0	4.0	215722.68381500244	0.0	0.0	0.0
chr1	201299737	201300589	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	156533.95069122314	0.0	655140.8966369629	0.0
chr1	16928868	16930769	CTCF	CTCF	Inactive	3.0	4.0	2.0	1.0	0.0	0.0	339403.94108581543	729064.0038223267
chr1	6587337	6588506	Enhancer	Enhancer	Inactive	1.0	2.0	3.0	4.0	267719.454788208	0.0	0.0	0.0
chr1	234997060	234998916	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	345422.34732437134	0.0	2222065.922580719	0.0
chr1	109239243	109240312	Enhancer/CTCF	Promoter	Inactive	3.0	4.0	2.0	1.0	284561.4782752991	0.0	501913.4186439514	614520.5334129333
chr1	9881713	9882800	Enhancer	Enhancer	Inactive	1.0	2.0	3.0	4.0	272635.0668182373	0.0	0.0	0.0
chr1	64111692	64112774	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	253194.22088241577	0.0	376410.8770942688	0.0
chr1	16139302	16140609	Enhancer	Enhancer	Inactive	1.0	2.0	3.0	4.0	300980.40675354004	0.0	0.0	0.0
chr1	202283230	202284445	Enhancer	Enhancer	Inactive	1.0	2.0	3.0	4.0	228313.9528274536	0.0	0.0	0.0
chr1	9890257	9891597	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	160472.4621887207	0.0	499629.42512512207	0.0
chr1	110477013	110478039	Enhancer/CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	256800.31984710693	0.0	0.0	311619.0204734802
chr1	151569555	151570425	Enhancer	Enhancer	Inactive	1.0	2.0	3.0	4.0	247472.70752716064	0.0	0.0	0.0
chr1	17232987	17234313	Enhancer	Promoter	Active	2.0	3.0	1.0	4.0	148002.14697265625	0.0	877084.9396514893	0.0
chr1	26275361	26276368	Enhancer/CTCF	CTCF	Active	3.0	4.0	1.0	2.0	202970.3862838745	0.0	825328.8095474243	684584.7685165405
chr1	30378839	30380136	Enhancer/CTCF	CTCF	Inactive	1.0	3.0	4.0	2.0	260164.71823501587	0.0	0.0	197846.00493240356
chr1	16780875	16781537	Enhancer	Enhancer	Inactive	1.0	2.0	3.0	4.0	227830.4227142334	0.0	0.0	0.0
chr1	24293867	24295360	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	222189.62799072266	0.0	2613639.1001586914	0.0
chr1	202588841	202589692	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	247311.5630531311	0.0	475719.5164413452	0.0
chr1	202235737	202237701	CTCF	CTCF	Inactive	3.0	4.0	2.0	1.0	0.0	0.0	267577.04821014404	1065558.089351654
chr1	152182446	152183481	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	285649.11200141907
chr1	115782590	115783685	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	264878.8350830078	0.0	651982.1431999207	0.0
chr1	112700318	112701220	Enhancer	Enhancer	Inactive	1.0	2.0	3.0	4.0	254241.81671142578	0.0	0.0	0.0
chr1	8004276	8005666	Enhancer	Promoter	Active	2.0	3.0	1.0	4.0	195899.1416015625	0.0	1042437.7527618408	0.0
chr1	156096012	156096994	Enhancer/CTCF	CTCF	Inactive	3.0	4.0	2.0	1.0	244914.18337631226	0.0	362269.05338287354	1123803.009338379
chr1	209653720	209654809	Enhancer	Promoter	Active	2.0	3.0	1.0	4.0	320239.8935852051	0.0	1097935.5987548828	0.0
chr1	167789453	167790683	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	288066.77501678467	0.0	709156.9843940735	0.0
chr1	26351479	26352402	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	282808.726108551	0.0	504343.4053592682	0.0
chr1	26849075	26850028	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	251119.16612243652	0.0	893413.9426574707	0.0
chr1	206895164	206896113	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	74227.727684021	0.0	1128600.8135375977	0.0
chr1	43930306	43931265	Enhancer/CTCF	CTCF	Inactive	3.0	4.0	2.0	1.0	148294.2325592041	0.0	322200.5473136902	337183.38023376465
chr1	39183346	39184528	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	185121.0740890503	0.0	410465.3942337036	0.0
chr1	85611422	85612329	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	228374.34128952026	0.0	427972.67652893066	0.0
chr1	161074545	161075494	Enhancer	Promoter	Active	2.0	3.0	1.0	4.0	243362.95888519287	0.0	588902.7616119385	0.0
chr1	201295567	201296591	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	121369.21903800964	0.0	792890.1234741211	0.0
chr1	201289428	201290333	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	119918.72686004639	0.0	175424.34052467346	0.0
chr1	156129655	156131129	Enhancer/CTCF	Promoter	Active	3.0	4.0	1.0	2.0	144728.44484519958	0.0	1174452.315536499	738592.4867172241
chr1	201461001	201462571	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	102616.71695963542	0.0	2176676.0216827393	0.0
chr1	145978938	145979942	Enhancer	Promoter	Active	2.0	3.0	1.0	4.0	137496.0221004486	0.0	541811.9288902283	0.0
chr1	61321979	61323223	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	256699.63424301147	0.0	925694.650100708	0.0
chr1	30379599	30380997	Enhancer/CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	220658.51612091064	0.0	0.0	836674.0835876465
chr1	94862609	94863604	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	249306.0634918213	0.0	253581.0198612213	0.0
chr1	209388867	209389787	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	117803.3916015625	0.0	372097.85649108887	0.0
chr1	116508756	116509871	Enhancer	Promoter	Active	2.0	3.0	1.0	4.0	242758.64975357056	0.0	449817.1575241089	0.0
chr1	16620898	16621587	Enhancer/CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	229361.52466583252	0.0	0.0	1599959.0247325897
chr1	151574550	151575346	Enhancer	Enhancer	Inactive	1.0	2.0	3.0	4.0	207503.17266845703	0.0	0.0	0.0
chr1	234801022	234801671	Enhancer	Enhancer	Inactive	1.0	2.0	3.0	4.0	214695.27448272705	0.0	0.0	0.0
chr1	26861219	26862609	TBD_3	Promoter	Active	2.0	3.0	1.0	4.0	333274.3434753418	59513.471031188965	2635337.663345337	9163.462478637695
chr1	8873035	8874608	Enhancer	Promoter	Active	2.0	3.0	1.0	4.0	155466.25609970093	0.0	373737.95726394653	0.0
chr1	27556781	27558384	Enhancer/CTCF	CTCF	Inactive	3.0	4.0	2.0	1.0	248036.887260437	0.0	431180.0051727295	608296.6186122894
chr1	226696597	226697500	Enhancer	Enhancer	Inactive	1.0	3.0	2.0	4.0	225070.51901245117	0.0	216622.71004867554	0.0
chr1	16770208	16770801	Enhancer	Enhancer	Inactive	1.0	2.0	3.0	4.0	207946.40478515625	0.0	0.0	0.0
chr1	36299779	36300987	Enhancer/CTCF	Promoter	Active	3.0	4.0	1.0	2.0	227105.21532440186	0.0	764460.6921310425	370897.7006511688
chr1	224651867	224652935	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	633496.1169433594
chr1	16928935	16930127	CTCF	CTCF	Active	3.0	4.0	1.0	2.0	0.0	0.0	313501.56799697876	309064.5009841919
chr1	186187508	186188666	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	5157.365264892578	0.0	1130131.4820861816	0.0
chr1	203692432	203693619	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	123041.33791160583	0.0	1123643.7926330566	0.0
chr1	153292197	153293492	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	448503.597076416
chr1	26278267	26279293	TBD_1	Promoter	Active	2.0	3.0	1.0	4.0	124733.57153701782	28795.749717712402	343935.6088695526	0.0
chr1	39178460	39179500	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	248621.0776863098	0.0	377139.8483695984	0.0
chr1	235083520	235084420	Enhancer/CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	219933.23727416992	0.0	0.0	815245.2463741302
chr1	94622608	94623255	Enhancer	Promoter	Inactive	1.0	3.0	2.0	4.0	185080.75077819824	0.0	129767.10400390625	0.0
chr1	115300198	115300950	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	236674.52466583252	0.0	279993.7038421631	0.0
chr1	234185895	234186723	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	205065.52727508545	0.0	211592.8881263733	0.0
chr1	209542341	209543138	Enhancer	Enhancer	Inactive	1.0	2.0	3.0	4.0	192897.3811340332	0.0	0.0	0.0
chr1	16173005	16174108	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	121036.83641433716	0.0	1006354.1739501953	0.0
chr1	154432637	154433809	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	154559.67574310303	0.0	417426.9754333496	0.0
chr1	119686672	119687841	Enhancer	Enhancer	Inactive	1.0	2.0	3.0	4.0	232222.2572479248	0.0	0.0	0.0
chr1	39158675	39159687	Enhancer	Promoter	Inactive	1.0	2.0	3.0	4.0	227709.55554962158	0.0	0.0	0.0
chr1	120534616	120535634	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	227689.43901062012	0.0	599667.1487960815	0.0
chr1	16158765	16159654	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	114298.02442550659	0.0	455600.18145751953	0.0
chr1	201302281	201303227	Enhancer	Promoter	Active	2.0	3.0	1.0	4.0	122628.35673713684	0.0	507672.2232646942	0.0
chr1	205284171	205285224	Enhancer	Promoter	Inactive	1.0	2.0	3.0	4.0	40896.25185394287	0.0	0.0	0.0
chr1	42943037	42943668	Enhancer	Promoter	Active	2.0	3.0	1.0	4.0	53883.67058181763	0.0	77342.70783996582	0.0
chr1	145122259	145123257	Enhancer/CTCF	CTCF	Inactive	1.0	3.0	4.0	2.0	208429.92517852783	0.0	0.0	115597.65263366699
chr1	181112356	181113386	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	53930.67462730408	0.0	350143.9914932251	0.0
chr1	38117272	38118105	Enhancer	Enhancer	Inactive	1.0	2.0	3.0	4.0	210666.12628936768	0.0	0.0	0.0
chr1	214445736	214447473	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	170454.8500480652	0.0	682695.6594161987	0.0
chr1	27539893	27540822	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	219913.09375	0.0	680946.0866241455	0.0
chr1	160219042	160220141	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	290474.04681396484
chr1	218705381	218706744	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	131653.75985717773	0.0	655578.2115821838	0.0
chr1	216902578	216903814	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	40271.746967315674	0.0	783923.9559593201	0.0
chr1	16184314	16185101	Enhancer	Enhancer	Inactive	1.0	2.0	3.0	4.0	188545.87243270874	0.0	0.0	0.0
chr1	183163198	183163945	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	208409.76036071777	0.0	360677.4065246582	0.0
chr1	234532931	234533640	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	82779.66120147705	0.0	385036.901927948	0.0
chr1	234589057	234590316	Enhancer	Enhancer	Inactive	1.0	2.0	3.0	4.0	251199.75548553467	0.0	0.0	0.0
chr1	20493575	20494698	Enhancer/CTCF	CTCF	Inactive	3.0	4.0	2.0	1.0	175894.21900177002	0.0	515058.9296569824	613020.3186531067
chr1	209364526	209365205	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	182260.31314849854	0.0	290101.9434661865	0.0
chr1	93701562	93702467	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	140638.7970085144	0.0	1063553.1709594727	0.0
chr1	32992310	32993097	Enhancer	Promoter	Active	2.0	3.0	1.0	4.0	104557.42929840088	0.0	476521.2916107178	0.0
chr1	30618187	30618971	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	203856.72428894043	0.0	629068.4586486816	0.0
chr1	26469955	26471180	CTCF	Promoter	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	527528.2104625702
chr1	33220623	33221694	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	153532.2195892334	0.0	218785.3014163971	0.0
chr1	150623951	150624712	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	90374.69317054749	0.0	114495.39308357239	0.0
chr1	93813787	93814594	Enhancer/CTCF	CTCF	Inactive	2.0	4.0	3.0	1.0	181273.21434402466	0.0	22063.199142456055	770583.4306640625
chr1	209354160	209355074	CTCF	CTCF	Inactive	3.0	4.0	2.0	1.0	0.0	0.0	185690.530960083	660925.8399810791
chr1	110477308	110478244	Enhancer/CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	163484.3265762329	0.0	0.0	331344.82220458984
chr1	9302985	9303595	Enhancer	Enhancer	Inactive	1.0	2.0	3.0	4.0	183307.89608764648	0.0	0.0	0.0
chr1	156502769	156503732	Enhancer	Promoter	Active	2.0	3.0	1.0	4.0	67119.57098388672	0.0	876380.5033874512	0.0
chr1	38026426	38027613	Enhancer/CTCF	CTCF	Inactive	2.0	4.0	3.0	1.0	152424.14882659912	0.0	117301.87874984741	621818.8131828308
chr1	181159294	181160303	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	257606.16298294067	0.0	639881.2600975037	0.0
chr1	23472832	23473784	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	219933.30142974854	0.0	588999.7839927673	0.0
chr1	151998555	151999395	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	150550.60119628906	0.0	289154.317817688	0.0
chr1	16075883	16076443	Enhancer	Enhancer	Inactive	1.0	2.0	3.0	4.0	175692.74193572998	0.0	0.0	0.0
chr1	175470843	175471822	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	192434.03743743896	0.0	311217.4446525574	0.0
chr1	44707061	44708257	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	211874.8819885254	0.0	409967.24750328064	0.0
chr1	30648489	30650166	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	161550.35175323486	0.0	316976.29256629944	0.0
chr1	202593749	202594330	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	74398.960105896	0.0	306503.5833892822	0.0
chr1	197775765	197776840	Promoter	Promoter	Active	3.0	2.0	1.0	4.0	0.0	43187.966133117676	777630.3078079224	0.0
chr1	56506848	56507614	Enhancer	Enhancer	Inactive	1.0	2.0	3.0	4.0	174040.78995513916	0.0	0.0	0.0
chr1	183164231	183165820	Enhancer	Promoter	Active	2.0	3.0	1.0	4.0	99027.37336730957	0.0	812086.2238540649	0.0
chr1	38026610	38027785	Enhancer/CTCF	CTCF	Inactive	3.0	4.0	2.0	1.0	101495.22773361206	0.0	237033.6372947693	609269.7324066162
chr1	29709253	29710316	Enhancer	Enhancer	Inactive	1.0	2.0	3.0	4.0	89850.93144989014	0.0	0.0	0.0
chr1	157968401	157969412	Enhancer/CTCF	CTCF	Active	2.0	4.0	1.0	3.0	105746.06037330627	0.0	583654.2999000549	35376.67267417908
chr1	155043983	155045654	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	538516.3549461365
chr1	160951206	160952023	CTCF	Promoter	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	491908.32888031006
chr1	43666377	43667241	Enhancer	Enhancer	Inactive	1.0	2.0	3.0	4.0	40412.76745605469	0.0	0.0	0.0
chr1	27300471	27301370	Enhancer/CTCF	CTCF	Inactive	2.0	4.0	3.0	1.0	131351.495803833	0.0	28235.045722961426	1070889.9905261993
chr1	34762452	34764026	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	35900.065338134766	0.0	877935.4774074554	0.0
chr1	209403788	209404425	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	202728.60320281982	0.0	388973.27253723145	0.0
chr1	156124483	156125668	Enhancer	Promoter	Active	2.0	3.0	1.0	4.0	237943.7236213684	0.0	562344.371963501	0.0
chr1	9835824	9837078	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	85177.0302772522	0.0	286129.1091976166	0.0
chr1	6414165	6415893	CTCF	CTCF	Active	3.0	4.0	1.0	2.0	0.0	0.0	1662199.6790351868	336190.140417099
chr1	27402137	27403505	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	410166.87183380127
chr1	152167669	152168374	Enhancer	Promoter	Inactive	1.0	3.0	2.0	4.0	183348.24143218994	0.0	182677.47357940674	0.0
chr1	33004531	33005314	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	157460.69123077393	0.0	536101.6689338684	0.0
chr1	51569368	51570241	Enhancer	Enhancer	Inactive	1.0	2.0	3.0	4.0	213083.56187438965	0.0	0.0	0.0
chr1	209387841	209388446	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	174725.72114562988	0.0	207571.45379638672	0.0
chr1	207004795	207005615	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	652999.0419769287
chr1	27299252	27299950	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	80523.31950378418	0.0	196090.34812927246	0.0
chr1	93964501	93965228	Enhancer	Enhancer	Inactive	1.0	2.0	3.0	4.0	172570.1692276001	0.0	0.0	0.0
chr1	20212567	20213548	Enhancer/CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	138886.11980438232	0.0	0.0	567770.5927124023
chr1	27542263	27542847	Enhancer	Promoter	Active	2.0	3.0	1.0	4.0	161812.18683624268	0.0	262012.67585754395	0.0
chr1	23592483	23594125	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	151235.59775543213	0.0	967646.3772125244	0.0
chr1	81174656	81175516	Enhancer	Enhancer	Inactive	1.0	2.0	3.0	4.0	169447.4962348938	0.0	0.0	0.0
chr1	38138336	38139145	Enhancer	Enhancer	Inactive	1.0	2.0	3.0	4.0	92490.02917861938	0.0	0.0	0.0
chr1	22831915	22832860	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	93880.11269950867	0.0	435019.1971206665	0.0
chr1	175221660	175222775	Enhancer	Enhancer	Inactive	1.0	2.0	3.0	4.0	209094.8120727539	0.0	0.0	0.0
chr1	153544905	153545681	Enhancer	Promoter	Inactive	1.0	3.0	2.0	4.0	179742.05406951904	0.0	142122.93482589722	0.0
chr1	153617416	153618104	Enhancer/CTCF	CTCF	Inactive	2.0	4.0	3.0	1.0	186168.62686920166	0.0	173881.30639648438	319667.5575904846
chr1	58848534	58849602	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	100649.13090515137	0.0	128345.62516593933	0.0
chr1	209370169	209371076	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	158024.7073135376	0.0	239038.17433929443	0.0
chr1	85289399	85290320	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	172126.94694519043	0.0	506505.74437332153	0.0
chr1	26997291	26998751	TBD_3	CTCF	Active	3.0	4.0	1.0	2.0	314357.3141441345	185097.7635345459	777484.6449890137	694923.9086418152
chr1	67570277	67571019	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	90022.13468170166	0.0	585014.8794555664	0.0
chr1	26998371	26999915	TBD_3	CTCF	Active	3.0	2.0	1.0	4.0	81933.53738657634	86850.78880310059	655541.7744903564	43790.049324035645
chr1	32760697	32761939	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	243987.49391174316	0.0	1447836.4883079529	0.0
chr1	94621303	94621994	Enhancer	Enhancer	Inactive	1.0	3.0	2.0	4.0	35960.496545791626	0.0	18029.625129699707	0.0
chr1	61992981	61993923	Enhancer	Enhancer	Inactive	1.0	2.0	3.0	4.0	170354.14331817627	0.0	0.0	0.0
chr1	206175515	206176594	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	142337.97798919678
chr1	205258534	205259314	Enhancer	Enhancer	Inactive	1.0	2.0	3.0	4.0	164914.67752075195	0.0	0.0	0.0
chr1	31422525	31423325	CTCF	CTCF	Inactive	3.0	4.0	2.0	1.0	0.0	0.0	316368.73302078247	735206.7305965424
chr1	5651909	5652685	Enhancer	Enhancer	Inactive	1.0	2.0	3.0	4.0	172771.61975860596	0.0	0.0	0.0
chr1	43472349	43473259	Enhancer	Promoter	Active	2.0	3.0	1.0	4.0	167513.50358963013	0.0	338432.04320144653	0.0
chr1	209565768	209566609	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	306368.2123031616
chr1	182143003	182144167	Enhancer/CTCF	CTCF	Inactive	3.0	4.0	2.0	1.0	147810.76289367676	0.0	177987.8276939392	674285.7636299133
chr1	40901779	40902443	Enhancer	Promoter	Inactive	1.0	2.0	3.0	4.0	162336.02404022217	0.0	0.0	0.0
chr1	91015285	91016574	Enhancer	Enhancer	Inactive	1.0	2.0	3.0	4.0	195314.99718475342	0.0	0.0	0.0
chr1	116922881	116923868	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	117168.81225585938	0.0	343388.9664840698	0.0
chr1	30756429	30757147	Enhancer	Promoter	Inactive	1.0	2.0	3.0	4.0	179016.77127456665	0.0	0.0	0.0
chr1	18936943	18937706	Enhancer	Enhancer	Inactive	1.0	3.0	2.0	4.0	53467.337757110596	0.0	42109.615856170654	0.0
chr1	59015668	59016206	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	161691.33935546875	0.0	194340.85891723633	0.0
chr1	9449968	9450838	Enhancer	Enhancer	Inactive	1.0	2.0	3.0	4.0	164612.5306816101	0.0	0.0	0.0
chr1	24283782	24284450	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	39828.51201629639	0.0	544752.0196228027	0.0
chr1	19076844	19077476	Enhancer	Promoter	Inactive	1.0	2.0	3.0	4.0	166747.90867614746	0.0	0.0	0.0
chr1	152941177	152941845	CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	0.0	0.0	0.0	154461.32534980774
chr1	201275125	201275831	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	162033.82759857178	0.0	176991.58309936523	0.0
chr1	10494422	10495465	Enhancer/CTCF	Promoter	Inactive	2.0	4.0	3.0	1.0	187075.2053604126	0.0	172666.41521453857	848067.6375846863
chr1	84771878	84772941	Enhancer/CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	161489.88512420654	0.0	0.0	615980.1432533264
chr1	154418072	154418943	Enhancer	Enhancer	Active	2.0	3.0	1.0	4.0	74670.95746040344	0.0	209794.76054763794	0.0
chr1	201882534	201883218	CTCF	CTCF	Active	3.0	4.0	1.0	2.0	0.0	0.0	247676.4144744873	145135.67784690857
chr1	54323252	54324471	Enhancer/CTCF	CTCF	Inactive	2.0	3.0	4.0	1.0	129336.94882202148	0.0	0.0	171693.54278564453
