chr	start	end	id	RE_rule	Active_rule	Active_inter
chr1	21337726	21339483	chr1:21337726_21339483	Enhancer	Active	Inactive
chr7	132463670	132465344	chr7:132463670_132465344	Enhancer	Inactive	Inactive
chr2	42879488	42881266	chr2:42879488_42881266	Enhancer	Active	Active
chr14	69049429	69051298	chr14:69049429_69051298	Enhancer	Inactive	Active
chr14	73462097	73463886	chr14:73462097_73463886	Enhancer	Inactive	Inactive
chr1	99598655	99600441	chr1:99598655_99600441	Enhancer	Active	Active
chr17	2084428	2086080	chr17:2084428_2086080	Enhancer	Active	Inactive
chr21	38388361	38390284	chr21:38388361_38390284	Enhancer	Active	Active
chr19	47157404	47158870	chr19:47157404_47158870	Enhancer	Active	Active
chr2	204109160	204110878	chr2:204109160_204110878	Enhancer	Active	Active
chr3	30664078	30665892	chr3:30664078_30665892	Enhancer	Active	Inactive
chr10	99466510	99468434	chr10:99466510_99468434	Enhancer	Active	Inactive
chr2	62304343	62306265	chr2:62304343_62306265	Enhancer	Inactive	Active
chr4	41204328	41205746	chr4:41204328_41205746	Enhancer	Active	Active
chr8	141037647	141039452	chr8:141037647_141039452	Enhancer	Active	Active
chr7	116576335	116578212	chr7:116576335_116578212	Enhancer	Active	Inactive
chr2	55985371	55987181	chr2:55985371_55987181	Enhancer	Active	Active
chr6	35044190	35045583	chr6:35044190_35045583	Enhancer	Active	Active
chr18	61991715	61993665	chr18:61991715_61993665	Enhancer	Active	Active
chr13	98508338	98510114	chr13:98508338_98510114	Enhancer	Active	Active
chr2	105379750	105381639	chr2:105379750_105381639	Enhancer	Active	Active
chr13	97240665	97242452	chr13:97240665_97242452	Enhancer	Active	Active
chr16	83766	85323	chr16:83766_85323	Enhancer	Active	Active
chr9	122306590	122308456	chr9:122306590_122308456	Enhancer	Active	Active
chr20	48928704	48930662	chr20:48928704_48930662	Enhancer	Active	Active
chr2	105402951	105404740	chr2:105402951_105404740	Enhancer	Active	Active
chr3	170750909	170752511	chr3:170750909_170752511	Enhancer	Active	Inactive
chr21	38487971	38489802	chr21:38487971_38489802	Enhancer	Active	Active
chr2	201621002	201622753	chr2:201621002_201622753	Enhancer	Inactive	Inactive
chr19	46975574	46977331	chr19:46975574_46977331	Enhancer	Active	Active
chr15	65832355	65834286	chr15:65832355_65834286	Enhancer	Active	Inactive
chr6	158631006	158632851	chr6:158631006_158632851	Enhancer	Active	Active
chr3	32419658	32421141	chr3:32419658_32421141	Enhancer	Active	Active
chr5	58245013	58246832	chr5:58245013_58246832	Enhancer	Inactive	Inactive
chr13	98971800	98973715	chr13:98971800_98973715	Enhancer	Active	Active
chr8	95702147	95704140	chr8:95702147_95704140	Enhancer	Active	Active
chr15	40097833	40099441	chr15:40097833_40099441	Enhancer	Active	Inactive
chr7	158739817	158741540	chr7:158739817_158741540	Enhancer	Active	Active
chr9	110114222	110116077	chr9:110114222_110116077	Enhancer	Active	Inactive
chr6	144313898	144315787	chr6:144313898_144315787	Enhancer	Inactive	Inactive
chr1	145978920	145980845	chr1:145978920_145980845	Enhancer	Active	Inactive
chr8	128167617	128169203	chr8:128167617_128169203	Enhancer	Active	Active
chr14	73460290	73462056	chr14:73460290_73462056	Enhancer	Active	Inactive
chr6	169934016	169935902	chr6:169934016_169935902	Enhancer	Active	Inactive
chr10	30027058	30028941	chr10:30027058_30028941	Enhancer	Active	Active
chr4	89538596	89540444	chr4:89538596_89540444	Enhancer	Active	Active
chr6	43698358	43700211	chr6:43698358_43700211	Enhancer	Active	Inactive
chr9	81596038	81597669	chr9:81596038_81597669	Enhancer	Active	Active
chr11	94933099	94934748	chr11:94933099_94934748	Enhancer	Active	Active
chr2	204113696	204115590	chr2:204113696_204115590	Enhancer	Active	Active
chr2	234969386	234971022	chr2:234969386_234971022	Enhancer	Active	Inactive
chr2	101843040	101844796	chr2:101843040_101844796	Enhancer	Inactive	Inactive
chr2	168992213	168994007	chr2:168992213_168994007	Enhancer	Active	Inactive
chr15	78034656	78036200	chr15:78034656_78036200	Enhancer	Inactive	Inactive
chr9	18330722	18332487	chr9:18330722_18332487	Enhancer	Active	Active
chr8	124196944	124198324	chr8:124196944_124198324	Enhancer	Active	Active
chr6	22447071	22449051	chr6:22447071_22449051	Enhancer	Active	Inactive
chr7	150586012	150587950	chr7:150586012_150587950	Enhancer	Active	Inactive
chr9	38018858	38020616	chr9:38018858_38020616	Enhancer	Active	Inactive
chr5	40734026	40735932	chr5:40734026_40735932	Enhancer	Active	Inactive
chr11	76578264	76580027	chr11:76578264_76580027	CTCF	Active	Active
chr10	60978301	60980257	chr10:60978301_60980257	Enhancer	Active	Inactive
chr6	139763675	139765384	chr6:139763675_139765384	Enhancer	Active	Inactive
chr12	96164585	96166314	chr12:96164585_96166314	Enhancer	Active	Inactive
chr3	58116680	58118355	chr3:58116680_58118355	Enhancer	Active	Active
chr13	59493581	59495444	chr13:59493581_59495444	Enhancer	Active	Inactive
chr7	139730984	139732732	chr7:139730984_139732732	Enhancer	Active	Inactive
chr13	98506672	98508226	chr13:98506672_98508226	Enhancer	Active	Inactive
chr15	95295321	95297305	chr15:95295321_95297305	Enhancer	Active	Active
chr2	159098226	159099971	chr2:159098226_159099971	Enhancer	Active	Inactive
chr11	13104382	13105997	chr11:13104382_13105997	Enhancer	Inactive	Active
chr2	111161898	111163715	chr2:111161898_111163715	Enhancer	Inactive	Active
chr3	188262633	188264554	chr3:188262633_188264554	Enhancer	Active	Inactive
chr14	90611560	90613310	chr14:90611560_90613310	Enhancer	Active	Inactive
chr3	169527017	169528986	chr3:169527017_169528986	Enhancer	Active	Inactive
chr8	126499737	126501696	chr8:126499737_126501696	Enhancer	Active	Inactive
chr16	75011456	75013352	chr16:75011456_75013352	Enhancer	Active	Active
chr6	157760465	157761879	chr6:157760465_157761879	Enhancer	Active	Inactive
chr6	52522047	52523800	chr6:52522047_52523800	Enhancer	Active	Active
chr1	144917023	144918704	chr1:144917023_144918704	CTCF	Active	Active
chr12	105484837	105486356	chr12:105484837_105486356	Enhancer	Active	Active
chr11	19079460	19081137	chr11:19079460_19081137	Enhancer	Active	Active
chr7	112161577	112163512	chr7:112161577_112163512	Enhancer	Active	Inactive
chr13	28337263	28338744	chr13:28337263_28338744	Enhancer	Active	Inactive
chr8	127741902	127743902	chr8:127741902_127743902	Enhancer	Active	Active
chr18	56082681	56084627	chr18:56082681_56084627	Enhancer	Active	Active
chr15	38995608	38997317	chr15:38995608_38997317	Enhancer	Active	Active
chr7	135159634	135161572	chr7:135159634_135161572	Enhancer	Active	Inactive
chr22	23219691	23220992	chr22:23219691_23220992	Enhancer	Inactive	Inactive
chr18	55337710	55339676	chr18:55337710_55339676	Enhancer	Active	Inactive
chr15	39357410	39359292	chr15:39357410_39359292	Enhancer	Active	Active
chr8	1745102	1746738	chr8:1745102_1746738	Enhancer	Active	Inactive
chr10	119408814	119410545	chr10:119408814_119410545	Enhancer	Active	Inactive
chr9	127186093	127188080	chr9:127186093_127188080	Enhancer	Active	Inactive
chr22	46829254	46830817	chr22:46829254_46830817	Enhancer	Active	Inactive
chr18	9742029	9743937	chr18:9742029_9743937	Enhancer	Active	Inactive
chr3	149620412	149622166	chr3:149620412_149622166	Enhancer	Active	Inactive
chr13	40402152	40403992	chr13:40402152_40403992	Enhancer	Active	Inactive
chr14	59305787	59307497	chr14:59305787_59307497	Enhancer	Active	Inactive
chr11	36008481	36010388	chr11:36008481_36010388	Enhancer	Active	Inactive
chr11	10325302	10326952	chr11:10325302_10326952	Enhancer	Inactive	Inactive
chr14	99757325	99758939	chr14:99757325_99758939	Enhancer	Active	Inactive
chr15	85413000	85414915	chr15:85413000_85414915	Enhancer	Active	Inactive
chr12	96223943	96225647	chr12:96223943_96225647	Enhancer	Inactive	Active
chr16	81611801	81613305	chr16:81611801_81613305	Enhancer	Active	Active
chr15	92624361	92626203	chr15:92624361_92626203	Enhancer	Active	Inactive
chr4	78656765	78658452	chr4:78656765_78658452	Enhancer	Active	Active
chr1	78095032	78096597	chr1:78095032_78096597	Enhancer	Active	Inactive
chr8	23558324	23559782	chr8:23558324_23559782	Enhancer	Inactive	Inactive
chr18	62331325	62332685	chr18:62331325_62332685	Enhancer	Inactive	Inactive
chr8	10635566	10637077	chr8:10635566_10637077	Enhancer	Inactive	Active
chr11	74325515	74327502	chr11:74325515_74327502	Enhancer	Inactive	Inactive
chr4	10529177	10531119	chr4:10529177_10531119	Enhancer	Active	Active
chr17	19263067	19264414	chr17:19263067_19264414	Enhancer	Active	Inactive
chr14	61417667	61419349	chr14:61417667_61419349	Enhancer	Inactive	Inactive
chr6	158008123	158010028	chr6:158008123_158010028	Enhancer	Active	Inactive
chr5	57441167	57443109	chr5:57441167_57443109	Enhancer	Active	Active
chr18	55250759	55252755	chr18:55250759_55252755	Enhancer	Active	Inactive
chr12	46445181	46447081	chr12:46445181_46447081	Enhancer	Active	Active
chr15	98914566	98916260	chr15:98914566_98916260	Enhancer	Active	Inactive
chr1	89545276	89546947	chr1:89545276_89546947	Enhancer	Active	Inactive
chr14	104972208	104973836	chr14:104972208_104973836	Enhancer	Active	Active
chr3	66132925	66134793	chr3:66132925_66134793	Enhancer	Inactive	Inactive
chr2	46334528	46336360	chr2:46334528_46336360	Enhancer	Active	Inactive
chr1	94264871	94266382	chr1:94264871_94266382	Enhancer	Inactive	Inactive
chr3	170744903	170746654	chr3:170744903_170746654	Enhancer	Active	Active
chr6	35046719	35048118	chr6:35046719_35048118	Enhancer	Active	Inactive
chr8	58832479	58834422	chr8:58832479_58834422	Enhancer	Active	Inactive
chr7	150562762	150564504	chr7:150562762_150564504	Enhancer	Active	Inactive
chr6	77292116	77293965	chr6:77292116_77293965	Enhancer	Active	Active
chr4	140036806	140038398	chr4:140036806_140038398	Enhancer	Active	Inactive
chr13	77507791	77509778	chr13:77507791_77509778	Enhancer	Active	Inactive
chr2	9287336	9288689	chr2:9287336_9288689	Enhancer	Active	Inactive
chr18	25298486	25300141	chr18:25298486_25300141	Enhancer	Active	Active
chr2	64267310	64269010	chr2:64267310_64269010	Enhancer	Active	Active
chr5	137563074	137564704	chr5:137563074_137564704	Enhancer	Active	Inactive
chr14	104680431	104682349	chr14:104680431_104682349	Enhancer	Active	Active
chr11	123474132	123475825	chr11:123474132_123475825	Enhancer	Active	Inactive
chr2	191926707	191928622	chr2:191926707_191928622	Enhancer	Active	Active
chr2	109331989	109333809	chr2:109331989_109333809	Enhancer	Inactive	Active
chr18	22346293	22347421	chr18:22346293_22347421	Enhancer	Active	Inactive
chr5	78639277	78641130	chr5:78639277_78641130	Enhancer	Inactive	Inactive
chr8	127507224	127509196	chr8:127507224_127509196	Enhancer	Active	Inactive
chr3	157335364	157336900	chr3:157335364_157336900	Enhancer	Active	Active
chr7	66307419	66308848	chr7:66307419_66308848	Enhancer	Active	Inactive
chr13	40568091	40569656	chr13:40568091_40569656	Enhancer	Inactive	Inactive
chr11	111734733	111736385	chr11:111734733_111736385	Enhancer	Active	Active
chr2	9262424	9263903	chr2:9262424_9263903	Enhancer	Active	Active
chr3	181630668	181632579	chr3:181630668_181632579	Enhancer	Inactive	Inactive
chr17	2178927	2180217	chr17:2178927_2180217	Enhancer	Active	Active
chr12	89389830	89391267	chr12:89389830_89391267	Enhancer	Active	Inactive
chr1	66348989	66350715	chr1:66348989_66350715	Enhancer	Active	Active
chr14	74670785	74672410	chr14:74670785_74672410	Enhancer	Active	Inactive
chr14	68231339	68233317	chr14:68231339_68233317	Enhancer	Active	Inactive
chr13	50448015	50449878	chr13:50448015_50449878	Enhancer	Active	Inactive
chr3	157359051	157360939	chr3:157359051_157360939	Enhancer	Active	Active
chr18	62450243	62451734	chr18:62450243_62451734	Enhancer	Active	Active
chr8	128048120	128049642	chr8:128048120_128049642	Enhancer	Active	Active
chr3	149553595	149555546	chr3:149553595_149555546	Enhancer	Active	Inactive
chr4	158809566	158811392	chr4:158809566_158811392	Enhancer	Active	Inactive
chr3	159855641	159857392	chr3:159855641_159857392	Enhancer	Active	Active
chr15	44849555	44851113	chr15:44849555_44851113	Enhancer	Active	Active
chr16	84532067	84533578	chr16:84532067_84533578	Enhancer	Active	Active
chr2	152404966	152406579	chr2:152404966_152406579	Enhancer	Inactive	Inactive
chr2	46854105	46855915	chr2:46854105_46855915	Enhancer	Inactive	Active
chr10	13944803	13946456	chr10:13944803_13946456	Enhancer	Active	Active
chr8	23217860	23219222	chr8:23217860_23219222	Enhancer	Active	Inactive
chr20	17557301	17559300	chr20:17557301_17559300	Enhancer	Active	Active
chr15	39139319	39141292	chr15:39139319_39141292	Enhancer	Active	Active
chr2	36477572	36478886	chr2:36477572_36478886	Enhancer	Active	Active
chr9	76414551	76416440	chr9:76414551_76416440	Enhancer	Active	Inactive
chr10	80462285	80463846	chr10:80462285_80463846	Enhancer	Inactive	Inactive
chr15	45918549	45920425	chr15:45918549_45920425	Enhancer	Active	Active
chr15	77457046	77458637	chr15:77457046_77458637	Enhancer	Active	Active
chr3	158700329	158702122	chr3:158700329_158702122	Enhancer	Inactive	Inactive
chr18	24831219	24832902	chr18:24831219_24832902	Enhancer	Active	Active
chr20	53621213	53622763	chr20:53621213_53622763	Enhancer	Active	Inactive
chr12	109462256	109463841	chr12:109462256_109463841	Enhancer	Active	Inactive
chr14	53890108	53892005	chr14:53890108_53892005	Enhancer	Active	Active
chr6	21846355	21848169	chr6:21846355_21848169	Enhancer	Active	Inactive
chr20	49774961	49776746	chr20:49774961_49776746	Enhancer	Active	Inactive
chr13	28466118	28467731	chr13:28466118_28467731	Enhancer	Active	Active
chr2	196403194	196404877	chr2:196403194_196404877	Enhancer	Active	Inactive
chr1	206380083	206381755	chr1:206380083_206381755	CTCF	Active	Active
chr16	81493455	81494688	chr16:81493455_81494688	Enhancer	Active	Inactive
chr10	30819698	30821695	chr10:30819698_30821695	Enhancer	Active	Inactive
chr15	60392524	60394474	chr15:60392524_60394474	Enhancer	Active	Active
chr5	72245962	72247594	chr5:72245962_72247594	Enhancer	Active	Active
chr10	33196439	33197713	chr10:33196439_33197713	Enhancer	Active	Inactive
chr10	29635036	29636785	chr10:29635036_29636785	Enhancer	Active	Inactive
chr3	129592629	129594379	chr3:129592629_129594379	Enhancer	Inactive	Inactive
chr14	68598164	68599674	chr14:68598164_68599674	Enhancer	Active	Active
chr9	16625720	16627306	chr9:16625720_16627306	Enhancer	Active	Active
chr20	38126639	38128245	chr20:38126639_38128245	Enhancer	Active	Active
chr2	55885080	55886614	chr2:55885080_55886614	Enhancer	Active	Active
chr4	158006396	158008170	chr4:158006396_158008170	Enhancer	Active	Inactive
chr6	155141970	155143951	chr6:155141970_155143951	Enhancer	Active	Inactive
chr14	22847782	22849527	chr14:22847782_22849527	Enhancer	Active	Active
chr2	108587253	108588810	chr2:108587253_108588810	Enhancer	Active	Active
chr3	159786964	159788686	chr3:159786964_159788686	Enhancer	Active	Inactive
chr20	44597752	44599155	chr20:44597752_44599155	Enhancer	Active	Inactive
chr12	47807969	47809331	chr12:47807969_47809331	Enhancer	Active	Inactive
chr6	111803340	111805118	chr6:111803340_111805118	Enhancer	Inactive	Inactive
chr2	178829049	178830785	chr2:178829049_178830785	Enhancer	Active	Inactive
chr11	87368041	87369706	chr11:87368041_87369706	Enhancer	Active	Active
chr2	55099574	55100940	chr2:55099574_55100940	Enhancer	Active	Inactive
chr7	104963108	104965041	chr7:104963108_104965041	Enhancer	Active	Inactive
chr13	104015003	104016776	chr13:104015003_104016776	Enhancer	Active	Active
chr7	26688492	26690289	chr7:26688492_26690289	Enhancer	Inactive	Inactive
chr18	55265033	55266509	chr18:55265033_55266509	Enhancer	Active	Inactive
chr2	36370830	36372589	chr2:36370830_36372589	Enhancer	Active	Active
chr2	191928820	191930590	chr2:191928820_191930590	Enhancer	Active	Active
chr10	114714236	114715950	chr10:114714236_114715950	Enhancer	Active	Inactive
chr3	172065332	172066874	chr3:172065332_172066874	Enhancer	Active	Inactive
chr3	124878349	124879710	chr3:124878349_124879710	Enhancer	Active	Active
chr4	98625393	98626976	chr4:98625393_98626976	Enhancer	Inactive	Inactive
chr12	96208293	96209900	chr12:96208293_96209900	Enhancer	Inactive	Active
chr1	201916498	201917828	chr1:201916498_201917828	Enhancer	Inactive	Inactive
chr9	128494127	128495574	chr9:128494127_128495574	Enhancer	Inactive	Active
chr9	16627356	16628755	chr9:16627356_16628755	Enhancer	Active	Active
chr4	94561010	94562719	chr4:94561010_94562719	Enhancer	Active	Inactive
chr11	74329653	74331432	chr11:74329653_74331432	Enhancer	Active	Active
chr16	53089910	53091617	chr16:53089910_53091617	Enhancer	Active	Active
chr6	142331058	142333056	chr6:142331058_142333056	Enhancer	Active	Inactive
chr15	98799887	98801702	chr15:98799887_98801702	Enhancer	Active	Inactive
chr3	134314703	134316121	chr3:134314703_134316121	Enhancer	Active	Active
chr2	47088289	47089384	chr2:47088289_47089384	Enhancer	Active	Active
chr9	13208793	13210741	chr9:13208793_13210741	Enhancer	Active	Inactive
chr3	188365131	188366662	chr3:188365131_188366662	Enhancer	Active	Inactive
chr3	186870374	186872085	chr3:186870374_186872085	Enhancer	Active	Active
chr5	39542172	39543939	chr5:39542172_39543939	Enhancer	Active	Inactive
chr15	57504939	57506764	chr15:57504939_57506764	Enhancer	Inactive	Inactive
chr4	73661375	73663311	chr4:73661375_73663311	Enhancer	Active	Active
chr12	47801397	47802833	chr12:47801397_47802833	Enhancer/CTCF	Inactive	Inactive
chr13	28489450	28491056	chr13:28489450_28491056	Enhancer	Inactive	Inactive
chr3	171850339	171852283	chr3:171850339_171852283	Enhancer	Active	Inactive
chr3	172917771	172919636	chr3:172917771_172919636	Enhancer	Active	Inactive
chr2	196330873	196332476	chr2:196330873_196332476	Enhancer	Active	Inactive
chr2	28080315	28081756	chr2:28080315_28081756	Enhancer	Active	Inactive
chr10	113086355	113088078	chr10:113086355_113088078	Enhancer	Active	Inactive
chr2	221517549	221519395	chr2:221517549_221519395	Enhancer	Active	Inactive
chr2	162091848	162093577	chr2:162091848_162093577	Enhancer	Active	Active
chr5	34706622	34708269	chr5:34706622_34708269	Enhancer	Active	Active
chr1	21899653	21900750	chr1:21899653_21900750	Enhancer	Active	Active
chr15	92707925	92709838	chr15:92707925_92709838	Enhancer	Active	Active
chr6	13421707	13423558	chr6:13421707_13423558	Enhancer	Active	Inactive
chr7	24668829	24670730	chr7:24668829_24670730	Enhancer	Inactive	Inactive
chr13	39951402	39953355	chr13:39951402_39953355	Enhancer	Active	Active
chr12	89345756	89347638	chr12:89345756_89347638	Enhancer	Active	Active
chr10	127976553	127978260	chr10:127976553_127978260	Enhancer	Active	Inactive
chr7	27123827	27125794	chr7:27123827_27125794	Enhancer	Active	Inactive
chr12	27284144	27285843	chr12:27284144_27285843	Enhancer	Active	Inactive
chr9	95023463	95024911	chr9:95023463_95024911	Enhancer	Active	Inactive
chr18	524184	525912	chr18:524184_525912	Enhancer	Active	Active
chr16	70427786	70429190	chr16:70427786_70429190	Enhancer	Active	Active
chr9	14372345	14374176	chr9:14372345_14374176	Enhancer	Active	Active
chr4	94547678	94549325	chr4:94547678_94549325	Enhancer	Active	Inactive
chr1	223771351	223772627	chr1:223771351_223772627	Enhancer	Active	Active
chr5	73672271	73673731	chr5:73672271_73673731	Enhancer	Active	Active
chr1	206374545	206376026	chr1:206374545_206376026	Enhancer	Active	Inactive
chr10	127967930	127969316	chr10:127967930_127969316	Enhancer	Active	Inactive
chr2	151637100	151638949	chr2:151637100_151638949	Enhancer	Active	Inactive
chr5	57841294	57842951	chr5:57841294_57842951	Enhancer	Active	Active
chr8	47512214	47514188	chr8:47512214_47514188	Enhancer	Active	Inactive
chr1	15007666	15009273	chr1:15007666_15009273	Enhancer	Active	Inactive
chr4	145842188	145843753	chr4:145842188_145843753	Enhancer	Active	Inactive
chr15	35305672	35307202	chr15:35305672_35307202	Enhancer	Active	Inactive
chr18	10268960	10270949	chr18:10268960_10270949	Enhancer	Active	Inactive
chr10	122494091	122495991	chr10:122494091_122495991	Enhancer	Active	Inactive
chr5	137071837	137073613	chr5:137071837_137073613	Enhancer	Inactive	Inactive
chr5	72596733	72598287	chr5:72596733_72598287	Enhancer	Active	Active
chr22	36368425	36369663	chr22:36368425_36369663	Enhancer	Active	Active
chr12	645258	647134	chr12:645258_647134	Enhancer	Active	Inactive
chr6	134549671	134551646	chr6:134549671_134551646	Enhancer	Active	Inactive
chr7	20351486	20353363	chr7:20351486_20353363	Enhancer	Active	Inactive
chr3	149612233	149613472	chr3:149612233_149613472	Enhancer	Active	Inactive
chr2	238169191	238170400	chr2:238169191_238170400	Enhancer	Active	Active
chr22	24059722	24060908	chr22:24059722_24060908	Enhancer	Active	Active
chr11	22807286	22809174	chr11:22807286_22809174	Enhancer	Active	Inactive
chr3	171966616	171968412	chr3:171966616_171968412	Enhancer	Active	Inactive
chr22	46749066	46750418	chr22:46749066_46750418	Enhancer	Active	Active
chr12	120126298	120127507	chr12:120126298_120127507	Enhancer	Active	Inactive
chr14	61183007	61184566	chr14:61183007_61184566	Enhancer	Active	Inactive
chr4	74631559	74633333	chr4:74631559_74633333	Enhancer	Active	Active
chr11	128496676	128498013	chr11:128496676_128498013	Enhancer	Active	Active
chr15	63233481	63234975	chr15:63233481_63234975	Enhancer	Active	Inactive
chr13	26583825	26585713	chr13:26583825_26585713	Enhancer	Active	Inactive
chr18	58992107	58994064	chr18:58992107_58994064	Enhancer	Active	Inactive
chr15	35690196	35691653	chr15:35690196_35691653	Enhancer	Active	Inactive
chr17	2181113	2182182	chr17:2181113_2182182	Enhancer	Active	Inactive
chr6	111566740	111568707	chr6:111566740_111568707	Enhancer	Active	Inactive
chr16	81996833	81998230	chr16:81996833_81998230	CTCF	Active	Inactive
chr7	29038288	29040258	chr7:29038288_29040258	Enhancer	Inactive	Inactive
chr11	75339875	75341238	chr11:75339875_75341238	Enhancer	Inactive	Inactive
chr4	158161196	158163139	chr4:158161196_158163139	Enhancer	Active	Active
chr15	58520262	58521950	chr15:58520262_58521950	Enhancer	Active	Active
chr7	22417716	22419453	chr7:22417716_22419453	Enhancer	Active	Inactive
chr3	195179344	195180913	chr3:195179344_195180913	Enhancer	Active	Inactive
chr11	86551075	86552088	chr11:86551075_86552088	Enhancer	Active	Inactive
chr8	13193127	13194892	chr8:13193127_13194892	Enhancer	Active	Inactive
chr17	70109401	70111134	chr17:70109401_70111134	Enhancer	Active	Inactive
chr6	111747015	111748770	chr6:111747015_111748770	Enhancer	Active	Inactive
chr1	16248243	16249508	chr1:16248243_16249508	Enhancer	Active	Active
chr6	111601657	111603653	chr6:111601657_111603653	Enhancer	Active	Active
chr5	149450057	149451341	chr5:149450057_149451341	Enhancer	Active	Active
chr4	76984002	76985366	chr4:76984002_76985366	Enhancer	Inactive	Inactive
chr20	7627718	7629708	chr20:7627718_7629708	Enhancer	Active	Inactive
chr3	129499057	129500247	chr3:129499057_129500247	Enhancer	Active	Inactive
chr8	27701674	27703350	chr8:27701674_27703350	Enhancer	Active	Inactive
chr12	89235151	89236795	chr12:89235151_89236795	Enhancer	Inactive	Inactive
chr16	82936682	82938511	chr16:82936682_82938511	Enhancer	Active	Inactive
chr15	67133894	67134992	chr15:67133894_67134992	Enhancer	Active	Inactive
chr9	22116702	22118618	chr9:22116702_22118618	Enhancer	Active	Active
chr9	95188177	95190112	chr9:95188177_95190112	Enhancer	Active	Inactive
chr4	57101768	57103548	chr4:57101768_57103548	Enhancer	Active	Active
chr2	221529019	221530730	chr2:221529019_221530730	Enhancer	Active	Inactive
chr15	40080483	40082299	chr15:40080483_40082299	Enhancer	Active	Active
chr4	159271841	159273537	chr4:159271841_159273537	Enhancer	Inactive	Inactive
chr4	30756476	30758062	chr4:30756476_30758062	Enhancer	Active	Inactive
chr11	12841826	12843602	chr11:12841826_12843602	Enhancer	Inactive	Inactive
chr12	89450750	89452464	chr12:89450750_89452464	Enhancer	Active	Inactive
chr7	116876337	116877792	chr7:116876337_116877792	Enhancer	Active	Active
chr3	7306880	7308115	chr3:7306880_7308115	Enhancer	Active	Inactive
chr18	5455483	5457467	chr18:5455483_5457467	CTCF	Active	Inactive
chr4	86938993	86940538	chr4:86938993_86940538	Enhancer	Inactive	Inactive
chr14	68568894	68570501	chr14:68568894_68570501	Enhancer	Inactive	Inactive
chr4	147927428	147929056	chr4:147927428_147929056	Enhancer	Active	Inactive
chr10	124701169	124702761	chr10:124701169_124702761	Enhancer	Active	Inactive
chr8	130415891	130416999	chr8:130415891_130416999	Enhancer	Active	Inactive
chr3	30688796	30689900	chr3:30688796_30689900	Enhancer	Active	Inactive
chr9	77420525	77422424	chr9:77420525_77422424	Enhancer	Active	Inactive
chr4	169115625	169117201	chr4:169115625_169117201	Enhancer	Active	Inactive
chr15	75042778	75044328	chr15:75042778_75044328	Enhancer	Active	Inactive
chr8	105427301	105429266	chr8:105427301_105429266	Enhancer	Inactive	Inactive
chr16	66741109	66742563	chr16:66741109_66742563	Enhancer	Active	Active
chr5	73747431	73749285	chr5:73747431_73749285	Enhancer	Active	Active
chr20	8147278	8149166	chr20:8147278_8149166	Enhancer	Active	Inactive
chr11	66112241	66113614	chr11:66112241_66113614	Enhancer	Active	Inactive
chr2	196232670	196233997	chr2:196232670_196233997	Enhancer	Active	Active
chr10	110503646	110504884	chr10:110503646_110504884	Enhancer	Active	Inactive
chr11	33929999	33931545	chr11:33929999_33931545	Enhancer	Active	Active
chr1	153751931	153753099	chr1:153751931_153753099	Enhancer	Active	Inactive
chr3	170809350	170810633	chr3:170809350_170810633	Enhancer/CTCF	Inactive	Active
chr2	159064056	159065951	chr2:159064056_159065951	Enhancer	Inactive	Inactive
chr12	124109716	124111605	chr12:124109716_124111605	Enhancer	Active	Active
