chromosome	start	finish	huvec	CD14pos	kera
chr1	2586174	2587297	Promoter	Promoter	
chr1	2642489	2643538	Promoter	Enhancer/Promoter	
chr1	2701769	2702619		CTCF	
chr1	2772911	2773104		CTCF	
chr1	2786313	2787477		CTCF	
chr1	2921664	2922781		CTCF	
chr1	3012171	3013285		CTCF	
chr1	3409940	3410676			CTCF
chr1	3424451	3425266	CTCF	CTCF	CTCF
chr1	3452704	3454661	CTCF		
chr1	3483430	3484738		CTCF	CTCF
chr1	3490753	3492037	CTCF		CTCF
chr1	3517603	3518792	CTCF	CTCF	CTCF
chr1	3564765	3565917	CTCF	CTCF	CTCF
chr1	3611141	3612044	Promoter		
chr1	3614776	3615842		CTCF	CTCF
chr1	3618528	3619910			CTCF
chr1	3620804	3621912			CTCF
chr1	3624355	3625245	Promoter	Promoter	
chr1	3625507	3625950	Promoter		
chr1	3649817	3650443	Promoter	Enhancer/Promoter	
chr1	3666516	3666889		Enhancer	
chr1	3668794	3669276		Enhancer	
chr1	3676981	3677996		Promoter	
chr1	3678218	3678657		Promoter	
chr1	3695168	3696445	CTCF		CTCF
chr1	3703380	3703799			Enhancer
chr1	3723991	3725266	CTCF		CTCF
chr1	3747182	3747633	Promoter	Enhancer/Promoter	
chr1	3772307	3772875	Promoter	Promoter	
chr1	3775465	3776477		Enhancer	CTCF
chr1	3793539	3794119		Enhancer	
chr1	3796095	3796952	Promoter	Promoter	
chr1	3801053	3802150	CTCF		CTCF
chr1	3856875	3857823	Promoter	Enhancer	Promoter
chr1	3890827	3891449		Enhancer	
chr1	3899873	3901699	Promoter	Enhancer	Promoter
chr1	3910512	3911369			CTCF
chr1	4302926	4303340		Promoter/CTCF	Promoter
chr1	4584966	4585755			CTCF
chr1	4652049	4653322	CTCF	CTCF	CTCF
chr1	4656020	4657019			CTCF
chr1	4736217	4736691		Enhancer/Promoter	
chr1	5393950	5394642			CTCF
chr1	5424779	5425280			Enhancer
chr1	5509114	5510904	CTCF		CTCF
chr1	5513901	5515301	CTCF	CTCF	CTCF
chr1	5620693	5621559			CTCF
chr1	5636922	5637807			CTCF
chr1	5651909	5652685			Enhancer
chr1	5745427	5746616	CTCF	CTCF	CTCF
chr1	5893368	5894213			CTCF
chr1	5974857	5975725	CTCF		CTCF
chr1	5991773	5992931	Promoter	Promoter	
chr1	5994675	5995119		Enhancer	
chr1	6014576	6015130		Enhancer	
chr1	6025236	6025651		Enhancer	
chr1	6025924	6026618		Enhancer	
chr1	6027149	6029120			
chr1	6034018	6035113			CTCF
chr1	6040841	6042095	CTCF	CTCF	CTCF
chr1	6052476	6053472			
chr1	6056416	6056996		Enhancer	
chr1	6058518	6059059	Enhancer		
chr1	6108584	6109425			CTCF
chr1	6157622	6158163			Enhancer
chr1	6198957	6200221	Promoter	Promoter	Promoter
chr1	6204705	6206359			
chr1	6208502	6210237			CTCF
chr1	6235683	6236369	Promoter	Promoter	Promoter
chr1	6244854	6245852			CTCF
chr1	6246096	6247534			CTCF
chr1	6259867	6260439	Promoter	Promoter	
chr1	6301443	6302023			Enhancer
chr1	6302555	6302997			Enhancer
chr1	6343176	6344056		CTCF	
chr1	6347682	6348970	Enhancer/CTCF	CTCF	CTCF
chr1	6358799	6360118	Enhancer		
chr1	6362809	6363627		CTCF	
chr1	6385438	6386879			Promoter
chr1	6393171	6394310	Promoter	Enhancer	
chr1	6404554	6405499	CTCF		CTCF
chr1	6414115	6415893			
chr1	6422815	6424665	Enhancer/CTCF		CTCF
chr1	6436849	6438960			CTCF
chr1	6444952	6445652			CTCF
chr1	6475121	6476383			CTCF
chr1	6485733	6487242			
chr1	6489456	6490800			Promoter/CTCF
chr1	6491194	6492036	Enhancer		Promoter
chr1	6544744	6545438	Enhancer		
chr1	6547342	6547603	Enhancer		
chr1	6553915	6555432			Promoter/CTCF
chr1	6579376	6581304	Promoter	Enhancer	Promoter
chr1	6581646	6582577		Promoter	
chr1	6587337	6588506			Enhancer
chr1	6591192	6591667		Enhancer	
chr1	6599156	6600140		Enhancer	Promoter
chr1	6600831	6601863	Promoter	Enhancer	Promoter
chr1	6602068	6604018	Enhancer	Enhancer	
chr1	6612650	6613995	Promoter	Enhancer/Promoter	Promoter
chr1	6624427	6625436		Promoter	
chr1	6625567	6625985		Promoter	
chr1	6634426	6635209			CTCF
chr1	6646270	6647108	CTCF		
chr1	6701443	6702430			Promoter/CTCF
chr1	6719263	6720609			CTCF
chr1	6726899	6728206			CTCF
chr1	6743551	6744264		Promoter	
chr1	6745084	6745558		Enhancer	
chr1	6751691	6752056		Enhancer	
chr1	6753289	6754030		Enhancer	
chr1	6783929	6785775	Promoter	Promoter	Promoter
chr1	6800800	6801100		Enhancer	
chr1	6889589	6890692			CTCF
chr1	7069963	7071341		CTCF	CTCF
chr1	7207640	7208475	CTCF		CTCF
chr1	7218082	7218867	CTCF		
chr1	7298831	7300443	Enhancer		
chr1	7334599	7335355	Enhancer/CTCF		Enhancer/Promoter
chr1	7379120	7380099	Enhancer		
chr1	7380710	7381140	Enhancer		
chr1	7401733	7402384			Enhancer
chr1	7539252	7540356			
chr1	7561233	7561979			CTCF
chr1	7646609	7648159	CTCF		CTCF
chr1	7666919	7668488			CTCF
chr1	7668873	7670377		CTCF	CTCF
chr1	7680324	7680475		Promoter	
chr1	7704410	7704911	Promoter		
chr1	7728803	7729212		Enhancer	
chr1	7752400	7753613			
chr1	7753617	7754073		Enhancer	
chr1	7770512	7771955	Promoter	Enhancer	
chr1	7781505	7782376		Enhancer	
chr1	7783389	7784544	Promoter	Promoter	
chr1	7856268	7856927		CTCF	
chr1	7902381	7903602			CTCF
chr1	7940618	7942152		Promoter	
chr1	7942190	7943101		Promoter	
chr1	7953776	7954564		Promoter	
chr1	7960996	7962406	Promoter	Promoter	
chr1	7975008	7975929		CTCF	CTCF
chr1	7981922	7983043			CTCF
chr1	7994023	7994476		Enhancer	
chr1	8004276	8005666		Enhancer	Enhancer
chr1	8014506	8016176			
chr1	8019983	8020473	Enhancer		
chr1	8025993	8026883	Enhancer	Enhancer/Promoter	
chr1	8030955	8031709		CTCF	
chr1	8037473	8037908	Enhancer/CTCF		
chr1	8047119	8047561		Enhancer	
chr1	8047678	8048228		Enhancer	
chr1	8077013	8078670	Enhancer		
chr1	8089569	8090841	Enhancer		
chr1	8094448	8095572	Enhancer		Enhancer
chr1	8096238	8098002	Enhancer		
chr1	8104424	8105097		Enhancer	
chr1	8120537	8121967	Enhancer	Enhancer	
chr1	8126971	8127804		Enhancer	
chr1	8137436	8138396	Enhancer		
chr1	8181956	8183015	Enhancer		
chr1	8204393	8204734		Enhancer	
chr1	8211795	8212615	Enhancer	Enhancer/Promoter	Enhancer
chr1	8218576	8219175		Enhancer	
chr1	8224591	8225493		Enhancer	
chr1	8313965	8314946			CTCF
chr1	8317887	8318310		Enhancer/Promoter	
chr1	8348484	8350016	CTCF		CTCF
chr1	8351422	8352401		CTCF	
chr1	8374615	8375343			CTCF
chr1	8383056	8383504		Enhancer	
chr1	8388016	8388488		Enhancer	
chr1	8395560	8395978		Enhancer	
chr1	8409200	8409512		CTCF	
chr1	8423995	8425000	Promoter	Promoter	
chr1	8427491	8427954		Enhancer	
chr1	8428016	8428359		Enhancer	
chr1	8438864	8439304		Enhancer	
chr1	8456087	8457334	Enhancer		
chr1	8457807	8458101		Enhancer	
chr1	8463070	8463940	Enhancer		
chr1	8476039	8476449		Enhancer	
chr1	8525650	8526370		Enhancer	
chr1	8560498	8561778		CTCF	CTCF
chr1	8571088	8572711	CTCF		
chr1	8598023	8598466	CTCF		
chr1	8600076	8600854	Enhancer		
chr1	8625514	8625858		Enhancer	
chr1	8629734	8630187		Enhancer	
chr1	8647289	8648143	Enhancer		
chr1	8648951	8649438	Enhancer		
chr1	8660298	8661123	Enhancer		
chr1	8661709	8662105		Enhancer	
chr1	8663947	8664418		Enhancer	
chr1	8670967	8672040			CTCF
chr1	8700908	8702772	Promoter	Enhancer/Promoter	
chr1	8702814	8703972	Promoter	Promoter	
chr1	8711933	8713362	Enhancer	Enhancer	
chr1	8817395	8818949	Promoter		
chr1	8848587	8850273	CTCF		CTCF
chr1	8857904	8858783	Enhancer		
chr1	8858995	8860014			
chr1	8861953	8863218	CTCF	CTCF	
chr1	8870969	8871698		Enhancer	
chr1	8873035	8874608	Enhancer	Enhancer	Enhancer
chr1	8875424	8875915		Enhancer	
chr1	8877649	8879684	Enhancer	Enhancer	Promoter
chr1	8879927	8880421		Enhancer/Promoter	
chr1	8889857	8890306		Enhancer	
chr1	8918006	8918630	CTCF	CTCF	CTCF
chr1	8962905	8963249		CTCF	
chr1	8985926	8986672	Enhancer		
chr1	8987642	8989150	CTCF		CTCF
chr1	9004435	9006212	CTCF		CTCF
chr1	9007704	9008143		Enhancer	
chr1	9009845	9010573	CTCF	Enhancer/CTCF	CTCF
chr1	9010919	9012332		Enhancer	
chr1	9061225	9061620		Enhancer	
chr1	9067134	9067678		Enhancer	
chr1	9069487	9070072		Enhancer	
chr1	9074985	9075366		Enhancer	
chr1	9077964	9078974		Enhancer	
chr1	9082763	9083719		Enhancer	
chr1	9093131	9093462		Enhancer	
chr1	9093578	9093919		Enhancer	
chr1	9094107	9094408		Enhancer	
chr1	9101303	9102228			CTCF
chr1	9109980	9111436			CTCF
chr1	9128579	9129863	Promoter	Enhancer/Promoter	Promoter
chr1	9141734	9142877	CTCF		CTCF
chr1	9143260	9143754		Enhancer	
chr1	9162732	9163289		Enhancer	
chr1	9163521	9164495		Enhancer	
chr1	9180174	9182530			Promoter/CTCF
chr1	9196123	9197395			CTCF
chr1	9211169	9211944	Enhancer		
chr1	9233162	9233791		Promoter	
chr1	9234012	9235553	Promoter/CTCF		CTCF
chr1	9239649	9240095		Enhancer	
chr1	9249606	9250665	CTCF		CTCF
chr1	9266903	9267849			CTCF
chr1	9275421	9276104		Enhancer	
chr1	9288771	9290889			CTCF
chr1	9293815	9295461			Promoter
chr1	9302771	9303595	Enhancer		Enhancer
chr1	9317635	9318357	Enhancer		
chr1	9371377	9372104	Enhancer		
chr1	9373577	9374070	Enhancer		
chr1	9397720	9398789	Enhancer		
chr1	9399566	9401025	Enhancer		
chr1	9401444	9403073	Enhancer		
chr1	9412933	9414575	Enhancer		
chr1	9428541	9429427	Promoter	Promoter	Promoter
chr1	9434189	9434654			Enhancer
chr1	9434956	9435490			Enhancer
chr1	9441155	9442253	Enhancer		
chr1	9449968	9450838			Enhancer
chr1	9455542	9456624		CTCF	CTCF
chr1	9490669	9491685			CTCF
chr1	9494668	9495960	CTCF		CTCF
chr1	9539006	9540396	Promoter	Promoter	Promoter
chr1	9588161	9589071	Promoter/CTCF		CTCF
chr1	9591264	9591726		Enhancer	
chr1	9593349	9594674		Enhancer	
chr1	9615206	9616266	CTCF		CTCF
chr1	9626110	9626540		Enhancer	
chr1	9626645	9627722			CTCF
chr1	9629464	9630173		Enhancer	
chr1	9633539	9633816		Enhancer	
chr1	9643907	9644329		Enhancer	
chr1	9644425	9645303		Enhancer	
chr1	9651521	9651918		Enhancer	
chr1	9652285	9652889		Promoter	
chr1	9654326	9654849		Enhancer	
chr1	9655334	9655724		Enhancer	
chr1	9670008	9670473		Enhancer	
chr1	9685845	9686288		Enhancer	
chr1	9687013	9687960		Enhancer	Promoter
chr1	9689205	9689735		Enhancer/Promoter	
chr1	9700224	9700849			Enhancer
chr1	9701587	9702712	CTCF	CTCF	
chr1	9704624	9705141		Enhancer	
chr1	9717538	9717996		Enhancer	
chr1	9721160	9722496	CTCF	CTCF	CTCF
chr1	9724471	9725634	CTCF		CTCF
chr1	9730387	9731110		Enhancer	
chr1	9766563	9767375			Enhancer
chr1	9775568	9776136			Enhancer
chr1	9784138	9785162			CTCF
chr1	9787696	9788027		Enhancer	
chr1	9823749	9824530		Enhancer/Promoter	
chr1	9825355	9826021		Enhancer	
chr1	9835824	9837078			Enhancer
chr1	9866948	9868461			CTCF
chr1	9874420	9875553			CTCF
chr1	9881713	9882800			Enhancer
chr1	9890257	9891597			Enhancer
chr1	9893067	9893671		Promoter	
chr1	9900250	9901068		Enhancer	
chr1	9909980	9911116	Promoter	Enhancer	Promoter
chr1	9942326	9943782	Promoter	Promoter	Promoter
chr1	9949956	9951719			CTCF
chr1	9991019	9991443		Enhancer	
chr1	9996859	9997320		Promoter	
chr1	10029068	10029542		Promoter	
chr1	10032208	10033993			
chr1	10055690	10056363		Enhancer	
chr1	10067008	10067359		Enhancer	
chr1	10074300	10074807		Enhancer	
chr1	10108097	10108780	Enhancer		
chr1	10152717	10153565	CTCF		CTCF
chr1	10208454	10209061		Enhancer	
chr1	10209637	10210852			
chr1	10211287	10212368	Promoter	Enhancer	Promoter
chr1	10338090	10338369	CTCF		
chr1	10376952	10377919			
chr1	10378266	10378919		Enhancer	
chr1	10387996	10388757		Enhancer	
chr1	10398356	10399950	Promoter	Enhancer	Promoter
chr1	10400484	10400919		Enhancer	
chr1	10415009	10415851	Enhancer	Enhancer	
chr1	10427843	10428877	CTCF		
chr1	10429181	10431271			Promoter/CTCF
chr1	10471844	10472905	Promoter	Enhancer/Promoter	Promoter
chr1	10474669	10475421	Promoter	Promoter	
chr1	10484423	10484987		Enhancer	
chr1	10494224	10495644	CTCF		Enhancer/CTCF
chr1	10495869	10496478			Enhancer
chr1	10506944	10508011	CTCF		CTCF
chr1	10510334	10511388	Enhancer		Enhancer
chr1	10528332	10529011	Enhancer		
chr1	10692059	10692908		CTCF	CTCF
chr1	10693375	10694312		Promoter	
chr1	10694385	10695332	Promoter	Promoter	
chr1	10824440	10824875	Enhancer/CTCF		
chr1	10824906	10825924			Enhancer
chr1	10830835	10831469			Enhancer
chr1	10866967	10868104		CTCF	
chr1	10941054	10942820	CTCF	CTCF	CTCF
chr1	10960616	10961824			CTCF
chr1	10964864	10966343		Promoter	
chr1	10982854	10983279	Enhancer/CTCF		
chr1	11012084	11013376	Enhancer	Promoter	
chr1	11037232	11038309			CTCF
chr1	11059805	11060860	Promoter	Promoter	
chr1	11099195	11100180	Promoter	Promoter	
chr1	11262310	11263086	Promoter	Promoter	Promoter
chr1	11272593	11273908	Promoter	Enhancer	
chr1	11364009	11364700			CTCF
chr1	11478404	11479344	Promoter/CTCF		CTCF
chr1	11641888	11643562	CTCF		CTCF
chr1	11645249	11646293	CTCF	CTCF	CTCF
chr1	11650027	11651055			
chr1	11663662	11664652			CTCF
chr1	11670597	11671104		Enhancer	
chr1	11680597	11681687	Promoter	Promoter	
chr1	11710890	11711897			CTCF
chr1	11719135	11720526	Promoter/CTCF		CTCF
chr1	11725494	11726057		Enhancer	
chr1	11729463	11729960		Promoter	
chr1	11729978	11730858		Enhancer	
chr1	11735573	11737550		Enhancer	Promoter
chr1	11738694	11739238		Enhancer/Promoter	
chr1	11748939	11749945			
chr1	11784695	11785916			CTCF
chr1	11790650	11791366		Enhancer	
chr1	11797412	11798376	Enhancer		
chr1	11802562	11802958		Enhancer	
chr1	11803198	11804196	Enhancer/Promoter	Enhancer	Enhancer
chr1	11804782	11806976	Enhancer/Promoter	Enhancer	Promoter
chr1	11814860	11815592		Enhancer	
chr1	11821354	11822078	Enhancer		
chr1	11837885	11839305	CTCF		CTCF
chr1	11841223	11841620		Enhancer	
chr1	11842739	11843129		Enhancer	
chr1	11843753	11843888		Enhancer	
chr1	11851357	11851561		Enhancer	
chr1	11865026	11866039		CTCF	CTCF
chr1	11893494	11894527	CTCF		CTCF
chr1	11907452	11909302	Promoter		
chr1	11909344	11909882		Promoter	
chr1	11926164	11926864		Enhancer	Promoter
chr1	11934287	11935215	Promoter	Enhancer	
chr1	11960624	11961605		Enhancer	
chr1	11966922	11967742			CTCF
chr1	11979634	11980713	Promoter	Enhancer	Promoter
chr1	11981234	11982363		Enhancer	Promoter/CTCF
chr1	11985780	11986384		Promoter	
chr1	12018992	12019773	Promoter	Promoter	Promoter
chr1	12019991	12020595		Enhancer	
chr1	12079268	12080104			CTCF
chr1	12087959	12088406		Enhancer	
chr1	12118221	12119330	CTCF		CTCF
chr1	12124189	12125417	CTCF		CTCF
chr1	12125644	12126113		Promoter	
chr1	12132038	12132549		Enhancer	
chr1	12132772	12133648		Enhancer	
chr1	12140968	12141467		Enhancer	
chr1	12142814	12144426	Enhancer	Enhancer	
chr1	12146664	12146993		Enhancer	
chr1	12148533	12148970		Enhancer	
chr1	12150338	12151228		Enhancer	
chr1	12152002	12152740		Enhancer	
chr1	12152859	12153918		Enhancer	
chr1	12157238	12158394		Enhancer	
chr1	12161471	12162459	Enhancer	Enhancer	
chr1	12164179	12164623		Enhancer	
chr1	12166644	12167248	Promoter	Enhancer	
chr1	12171523	12172542		Promoter	
chr1	12173039	12174244		Promoter	
chr1	12174973	12175533		Promoter	
chr1	12177439	12178696	Enhancer	Enhancer	
chr1	12178777	12179663	Enhancer	Enhancer	
chr1	12180143	12180790		Enhancer	
chr1	12183864	12184893	Enhancer		
chr1	12194740	12195089		Enhancer	
chr1	12196227	12197413			
chr1	12208491	12209791			CTCF
chr1	12229238	12230410	Promoter/CTCF		Promoter/CTCF
chr1	12275222	12275892			CTCF
chr1	12276105	12276791			CTCF
chr1	12344530	12344948		Enhancer	
chr1	12376725	12377231		Enhancer/Promoter	
chr1	12405388	12406478	Enhancer/CTCF		
chr1	12407136	12407934	Enhancer		
chr1	12433325	12435281	Enhancer		
chr1	12435433	12436485	Enhancer		
chr1	12436902	12437395			Enhancer
chr1	12454420	12455565	Enhancer		
chr1	12456647	12457470	Enhancer		
chr1	12477843	12479006	Enhancer		
chr1	12480560	12481355	Enhancer	Enhancer	Enhancer
chr1	12510204	12510952		Enhancer/Promoter	
chr1	12549728	12550376			Enhancer
chr1	12595727	12597002	Enhancer		
chr1	12597734	12598136		Enhancer	
chr1	12600992	12602663	CTCF		CTCF
chr1	12604022	12604867	Enhancer	Enhancer	
chr1	12615588	12616545		Enhancer	
chr1	12617788	12620711			
chr1	12631068	12631610		Enhancer/Promoter	
chr1	12658607	12659736			CTCF
chr1	12783536	12784308		CTCF	
chr1	12810774	12811297			Enhancer
chr1	12811411	12811804			Enhancer
chr1	12924169	12924999			CTCF
chr1	13019478	13020398		CTCF	
chr1	13208579	13209273			CTCF
chr1	13276761	13277603			CTCF
chr1	13354273	13355161		CTCF	
chr1	13543821	13544486			CTCF
chr1	13570599	13571544			CTCF
chr1	13587114	13588119			Enhancer
chr1	13593418	13594372		Enhancer	
chr1	13623174	13623779		Enhancer	
chr1	13642650	13643390		Enhancer	
chr1	13662468	13662876		Enhancer	
chr1	13663997	13664475		Enhancer	
chr1	13665361	13666308			CTCF
chr1	13699977	13700424		Promoter	
chr1	13700656	13701088		Promoter	
chr1	13723656	13724266		Promoter	
chr1	13725856	13726178		CTCF	
chr1	13730847	13731341		Enhancer	
chr1	13748643	13750014	Promoter	Promoter	
chr1	13782204	13782632		Enhancer	
chr1	13801179	13802015			Enhancer
chr1	13807067	13807863			CTCF
chr1	13813360	13814413	CTCF		
chr1	13828579	13829419			CTCF
chr1	13959989	13961483	CTCF	CTCF	CTCF
chr1	13965519	13966351			CTCF
chr1	14113443	14114389			CTCF
chr1	14137286	14138668			Enhancer
chr1	14417801	14418234	Enhancer/CTCF		
chr1	14517188	14517906			Enhancer
chr1	14520470	14521267			Enhancer
chr1	14522278	14523263			Enhancer
chr1	14543456	14543867		Enhancer	
chr1	14606467	14607172			CTCF
chr1	14731372	14732708			CTCF
chr1	14742101	14742897		Enhancer	Enhancer
chr1	14778891	14779716			CTCF
chr1	14833359	14834148			CTCF
chr1	14914999	14916136	CTCF	CTCF	CTCF
chr1	15007666	15009273	Enhancer		
chr1	15016427	15016824		Enhancer	
chr1	15027177	15028475		CTCF	CTCF
chr1	15046114	15047792			CTCF
chr1	15062182	15063100		CTCF	
chr1	15090453	15090750	Enhancer		
chr1	15099970	15101031	CTCF	CTCF	CTCF
chr1	15128086	15129307			CTCF
chr1	15146898	15147368		Enhancer	
chr1	15152046	15154909			
chr1	15177628	15178281	Enhancer		
chr1	15200355	15201189	Enhancer		
chr1	15213265	15213783		Enhancer	
chr1	15218182	15219082	Enhancer		
chr1	15224893	15225372		Enhancer	
chr1	15231526	15232217		Enhancer	
chr1	15245851	15246490		Enhancer	
chr1	15246956	15247454		Enhancer	
chr1	15248200	15248576		Enhancer	
chr1	15258034	15259727		Enhancer	
chr1	15260508	15262019	Enhancer	Promoter	
chr1	15272192	15273447			CTCF
chr1	15275905	15276373		Enhancer	
chr1	15283402	15284072			
chr1	15296976	15297402		Enhancer	
chr1	15304264	15305615	CTCF		CTCF
chr1	15322988	15324297			CTCF
chr1	15328670	15329471	CTCF		
chr1	15341936	15342409		Enhancer	
chr1	15345780	15346393		Enhancer	
chr1	15352358	15352843	Enhancer		
chr1	15400566	15401080			Enhancer
chr1	15408910	15410163	Promoter	Promoter	
chr1	15411538	15412582		Promoter	
chr1	15415817	15416806		Promoter	
chr1	15416922	15418021	Enhancer	Promoter	Enhancer
chr1	15421499	15422022		Enhancer	
chr1	15429614	15430613		Enhancer	
chr1	15430734	15431894	CTCF		CTCF
chr1	15434661	15435223		Enhancer	
chr1	15458715	15459148	Enhancer/CTCF		
chr1	15501211	15502278	CTCF		
chr1	15523585	15525687	Promoter	Enhancer	Promoter
chr1	15526041	15527388	Promoter	Enhancer	Promoter
chr1	15603181	15604224	Promoter	Promoter	Promoter
chr1	15616777	15618069	Promoter	Promoter	Promoter
chr1	15618656	15619101		Promoter	
chr1	15620005	15620649	Enhancer		
chr1	15682177	15682786		Enhancer	
chr1	15684085	15684531		Enhancer	
chr1	15684555	15685323		Enhancer	
chr1	15696821	15697422		Promoter	
chr1	15702985	15703657			CTCF
chr1	15741084	15741964		CTCF	CTCF
chr1	15749242	15750212	Enhancer		
chr1	15760429	15761272	Promoter		
chr1	15765695	15766357			Enhancer
chr1	15791654	15792697	CTCF		CTCF
chr1	15794952	15795743	Enhancer		
chr1	15796470	15797221	Enhancer		Enhancer
chr1	15798922	15799736			Enhancer
chr1	15799815	15800824			Enhancer
chr1	15815217	15816130			CTCF
chr1	15825680	15826226		Enhancer	
chr1	15829679	15830225		Enhancer	
chr1	15832995	15833821		Enhancer	Promoter
chr1	15834197	15835308		Promoter	
chr1	15835416	15836472	Promoter	Enhancer	Promoter
chr1	15836770	15837774		Enhancer	
chr1	15847145	15850408			
chr1	15885740	15886768		Enhancer	
