chr	start	end	id	RE_rule	Active_rule
chr15	72221770	72223693	chr15:72221770_72223693	Enhancer	Active
chr1	19074371	19075780	chr1:19074371_19075780	Enhancer	Active
chr12	52434944	52436631	chr12:52434944_52436631	Enhancer	Active
chr15	71278845	71280274	chr15:71278845_71280274	Enhancer	Active
chr2	234305609	234307303	chr2:234305609_234307303	Enhancer	Active
chr16	21511277	21513003	chr16:21511277_21513003	Enhancer	Inactive
chr5	74016980	74018392	chr5:74016980_74018392	Enhancer	Active
chr6	170026185	170027977	chr6:170026185_170027977	Enhancer	Active
chr11	68337173	68338828	chr11:68337173_68338828	Enhancer	Active
chr2	98912166	98913964	chr2:98912166_98913964	Enhancer	Active
chr10	46386554	46387884	chr10:46386554_46387884	Enhancer	Active
chr22	36324727	36326369	chr22:36324727_36326369	Enhancer	Active
chr14	96267158	96268431	chr14:96267158_96268431	Enhancer	Active
chr2	112867526	112868726	chr2:112867526_112868726	Enhancer/CTCF	Inactive
chr5	132445117	132446417	chr5:132445117_132446417	Enhancer	Active
chr6	13479823	13481500	chr6:13479823_13481500	Enhancer	Active
chr3	13849893	13851481	chr3:13849893_13851481	Enhancer	Active
chr11	118618621	118620213	chr11:118618621_118620213	Enhancer	Inactive
chr13	98582009	98583463	chr13:98582009_98583463	Enhancer	Active
chr7	106069840	106071077	chr7:106069840_106071077	Enhancer	Active
chr11	73194490	73195794	chr11:73194490_73195794	Enhancer	Active
chr3	50600981	50602521	chr3:50600981_50602521	Enhancer	Active
chr3	45126580	45127930	chr3:45126580_45127930	Enhancer	Inactive
chr10	5595679	5597466	chr10:5595679_5597466	Enhancer	Active
chr11	120131460	120132765	chr11:120131460_120132765	Enhancer	Inactive
chr7	22564320	22565907	chr7:22564320_22565907	Enhancer	Active
chr14	22976677	22978549	chr14:22976677_22978549	Enhancer	Inactive
chr10	103735724	103737347	chr10:103735724_103737347	Enhancer	Inactive
chr14	103867349	103869119	chr14:103867349_103869119	Enhancer	Active
chr2	20560847	20562129	chr2:20560847_20562129	Enhancer	Inactive
chr10	27390568	27392401	chr10:27390568_27392401	Enhancer	Inactive
chr17	75695211	75696345	chr17:75695211_75696345	Enhancer	Active
chr10	72008879	72010241	chr10:72008879_72010241	Enhancer	Active
chr17	1511489	1512786	chr17:1511489_1512786	Enhancer	Active
chr9	106885389	106887382	chr9:106885389_106887382	Enhancer	Active
chr11	2177771	2179608	chr11:2177771_2179608	Enhancer	Active
chr9	133881032	133882534	chr9:133881032_133882534	Enhancer	Active
chr11	1531390	1533139	chr11:1531390_1533139	Enhancer	Active
chr12	3310897	3312117	chr12:3310897_3312117	Enhancer	Active
chr14	68675892	68677149	chr14:68675892_68677149	Enhancer	Active
chr5	136033684	136034979	chr5:136033684_136034979	Enhancer	Active
chr4	158458091	158459895	chr4:158458091_158459895	Enhancer	Active
chr18	23106487	23108117	chr18:23106487_23108117	Enhancer	Active
chr1	223738987	223740840	chr1:223738987_223740840	Enhancer	Active
chr16	67240377	67241986	chr16:67240377_67241986	Enhancer	Active
chr12	52243401	52244595	chr12:52243401_52244595	Enhancer	Active
chr11	13118000	13119076	chr11:13118000_13119076	Enhancer	Inactive
chr3	185732135	185733537	chr3:185732135_185733537	Enhancer	Active
chr14	50935824	50937762	chr14:50935824_50937762	Enhancer	Inactive
chr1	109197117	109198661	chr1:109197117_109198661	Enhancer	Active
chr4	7972132	7973994	chr4:7972132_7973994	Enhancer	Active
chr10	128063475	128065262	chr10:128063475_128065262	Enhancer	Active
chr12	106106834	106108042	chr12:106106834_106108042	Enhancer	Inactive
chr16	20905763	20906813	chr16:20905763_20906813	Enhancer	Active
chr6	33838885	33839722	chr6:33838885_33839722	Enhancer	Active
chr2	28649385	28650948	chr2:28649385_28650948	Enhancer	Active
chr8	11848044	11849671	chr8:11848044_11849671	Enhancer	Active
chr18	48941662	48943441	chr18:48941662_48943441	Enhancer	Active
chr18	45565371	45567083	chr18:45565371_45567083	Enhancer	Inactive
chr8	142675497	142676554	chr8:142675497_142676554	Enhancer	Inactive
chr3	42514932	42516361	chr3:42514932_42516361	Enhancer	Active
chr8	128076519	128078078	chr8:128076519_128078078	Enhancer	Active
chr7	47600381	47602023	chr7:47600381_47602023	Enhancer	Active
chr15	75696125	75698005	chr15:75696125_75698005	Enhancer	Active
chr17	36850754	36851699	chr17:36850754_36851699	Enhancer	Active
chr17	75700156	75701164	chr17:75700156_75701164	Enhancer	Active
chr8	10652914	10653868	chr8:10652914_10653868	Enhancer	Active
chr15	101358787	101360099	chr15:101358787_101360099	Enhancer	Inactive
chr3	43214566	43215672	chr3:43214566_43215672	Enhancer	Active
chr5	136006568	136007553	chr5:136006568_136007553	Enhancer	Active
chr8	28350932	28352370	chr8:28350932_28352370	Enhancer	Active
chr3	30501953	30503226	chr3:30501953_30503226	Enhancer	Active
chr11	35177411	35179347	chr11:35177411_35179347	Enhancer	Inactive
chr1	112061016	112062512	chr1:112061016_112062512	Enhancer	Active
chr15	51841980	51843652	chr15:51841980_51843652	Enhancer	Inactive
chr2	31429685	31430877	chr2:31429685_31430877	Enhancer	Active
chr3	98777733	98779562	chr3:98777733_98779562	Enhancer	Active
chr15	83287398	83289360	chr15:83287398_83289360	Enhancer	Active
chr3	185744854	185746182	chr3:185744854_185746182	Enhancer	Active
chr15	71049730	71050938	chr15:71049730_71050938	Enhancer	Active
chr16	10991651	10992596	chr16:10991651_10992596	Enhancer	Inactive
chr11	95498712	95500111	chr11:95498712_95500111	Enhancer	Inactive
chr8	144422608	144424076	chr8:144422608_144424076	Enhancer	Active
chr14	68950074	68951955	chr14:68950074_68951955	Enhancer	Active
chr6	42239292	42240419	chr6:42239292_42240419	Enhancer	Active
chr2	118386845	118388045	chr2:118386845_118388045	Enhancer	Active
chr21	34864706	34866410	chr21:34864706_34866410	Enhancer	Inactive
chr5	43281691	43283073	chr5:43281691_43283073	Enhancer	Active
chr14	73744602	73745527	chr14:73744602_73745527	Enhancer	Active
chr3	48432382	48433440	chr3:48432382_48433440	Enhancer	Inactive
chr5	135386880	135387689	chr5:135386880_135387689	Enhancer	Active
chr5	150295118	150296550	chr5:150295118_150296550	Enhancer	Active
chr8	37387682	37389105	chr8:37387682_37389105	Enhancer	Active
chr3	71447060	71448197	chr3:71447060_71448197	Enhancer	Inactive
chr2	120791436	120792399	chr2:120791436_120792399	Enhancer	Inactive
chr13	113858130	113859953	chr13:113858130_113859953	Enhancer/Promoter	Inactive
chr8	10799134	10800254	chr8:10799134_10800254	Enhancer	Inactive
chr17	81082092	81083130	chr17:81082092_81083130	Enhancer	Active
chr2	26770802	26772205	chr2:26770802_26772205	Enhancer/CTCF	Inactive
chr15	98906067	98907223	chr15:98906067_98907223	Enhancer	Inactive
chr17	41521363	41522425	chr17:41521363_41522425	Enhancer	Active
chr17	45468318	45469617	chr17:45468318_45469617	Enhancer	Inactive
chr17	49100906	49102337	chr17:49100906_49102337	Enhancer	Active
chr22	43125998	43127950	chr22:43125998_43127950	Enhancer	Active
chr12	3454131	3455737	chr12:3454131_3455737	Enhancer	Active
chr7	5629755	5631001	chr7:5629755_5631001	Enhancer	Active
chr3	50316409	50317661	chr3:50316409_50317661	Enhancer	Active
chr1	59730167	59731275	chr1:59730167_59731275	Enhancer	Active
chr5	159981620	159983219	chr5:159981620_159983219	Enhancer	Active
chr3	58052034	58053536	chr3:58052034_58053536	Enhancer	Active
chr17	64814951	64816266	chr17:64814951_64816266	Enhancer	Inactive
chr1	151568434	151569323	chr1:151568434_151569323	Enhancer	Inactive
chr12	13202663	13204170	chr12:13202663_13204170	Enhancer	Active
chr4	38188462	38189902	chr4:38188462_38189902	Enhancer	Active
chr17	46264218	46265166	chr17:46264218_46265166	Enhancer	Active
chr15	59294423	59295824	chr15:59294423_59295824	Enhancer	Active
chr10	71838025	71839231	chr10:71838025_71839231	Enhancer	Active
chr21	34802046	34803051	chr21:34802046_34803051	Enhancer	Active
chr17	45320235	45321423	chr17:45320235_45321423	Enhancer	Active
chr6	143325232	143326215	chr6:143325232_143326215	Enhancer	Active
chr9	128901915	128903371	chr9:128901915_128903371	Enhancer	Active
chr1	151546930	151548287	chr1:151546930_151548287	Enhancer	Active
chr2	230684261	230685216	chr2:230684261_230685216	Enhancer	Active
chr1	43206574	43207670	chr1:43206574_43207670	Enhancer	Active
chr19	42932399	42933791	chr19:42932399_42933791	Enhancer	Active
chr11	128502653	128504032	chr11:128502653_128504032	Enhancer	Active
chr14	64679922	64680838	chr14:64679922_64680838	Enhancer	Active
chr2	70381176	70382437	chr2:70381176_70382437	Enhancer	Active
chr5	137234710	137236025	chr5:137234710_137236025	Enhancer	Active
chr3	126911149	126912178	chr3:126911149_126912178	Enhancer	Active
chr10	119667315	119668330	chr10:119667315_119668330	Enhancer/CTCF	Inactive
chr3	9079501	9080638	chr3:9079501_9080638	Enhancer	Active
chr12	53844903	53846423	chr12:53844903_53846423	Enhancer	Inactive
chr13	20359163	20360654	chr13:20359163_20360654	Enhancer	Active
chr17	40021269	40022511	chr17:40021269_40022511	Enhancer	Active
chr6	138087539	138089394	chr6:138087539_138089394	Promoter	Active
chr12	104602767	104604605	chr12:104602767_104604605	Enhancer	Active
chr5	145921052	145922701	chr5:145921052_145922701	Enhancer	Active
chr3	197546516	197547803	chr3:197546516_197547803	Enhancer	Inactive
chr12	106111959	106113464	chr12:106111959_106113464	Enhancer	Active
chr1	54970673	54971884	chr1:54970673_54971884	Enhancer	Active
chr10	93474993	93476408	chr10:93474993_93476408	Enhancer	Active
chr16	22625090	22626435	chr16:22625090_22626435	Enhancer	Inactive
chr17	76546511	76547683	chr17:76546511_76547683	Enhancer	Active
chr10	4073896	4075198	chr10:4073896_4075198	Enhancer	Active
chr16	68743675	68745654	chr16:68743675_68745654	Enhancer	Active
chr8	23074456	23075739	chr8:23074456_23075739	Enhancer	Active
chr3	128060712	128062001	chr3:128060712_128062001	Enhancer	Inactive
chr7	23333585	23335161	chr7:23333585_23335161	Enhancer	Active
chr17	40176232	40177669	chr17:40176232_40177669	Enhancer	Active
chr8	101007456	101008635	chr8:101007456_101008635	Enhancer	Active
chr8	101451567	101452730	chr8:101451567_101452730	Enhancer	Active
chr11	76787874	76789178	chr11:76787874_76789178	Enhancer	Active
chr16	11496810	11497871	chr16:11496810_11497871	Enhancer	Inactive
chr20	1567242	1568511	chr20:1567242_1568511	Enhancer	Active
chr6	106746101	106747634	chr6:106746101_106747634	Enhancer	Active
chr2	46170900	46172809	chr2:46170900_46172809	Enhancer	Active
chr2	17589372	17591080	chr2:17589372_17591080	Enhancer	Active
chr14	70754796	70756159	chr14:70754796_70756159	Enhancer	Active
chr13	40205826	40207168	chr13:40205826_40207168	Enhancer	Active
chr8	128167671	128168765	chr8:128167671_128168765	Enhancer	Active
chr19	42850850	42852301	chr19:42850850_42852301	Enhancer	Active
chr2	43041217	43042547	chr2:43041217_43042547	Enhancer	Active
chr17	29155090	29156031	chr17:29155090_29156031	Enhancer	Active
chr16	22511573	22512458	chr16:22511573_22512458	Enhancer	Inactive
chr3	13824227	13825711	chr3:13824227_13825711	Enhancer	Active
chr2	160241112	160242295	chr2:160241112_160242295	Enhancer	Active
chr7	140059110	140060649	chr7:140059110_140060649	Enhancer	Active
chr22	20514602	20515522	chr22:20514602_20515522	Enhancer	Active
chr4	52822676	52823933	chr4:52822676_52823933	Enhancer	Active
chr17	43578809	43580061	chr17:43578809_43580061	Enhancer	Active
chr3	197371707	197372833	chr3:197371707_197372833	Enhancer	Active
chr6	158783884	158785044	chr6:158783884_158785044	Enhancer	Inactive
chr3	12750016	12751351	chr3:12750016_12751351	Enhancer	Active
chr1	208207303	208208548	chr1:208207303_208208548	Enhancer	Active
chr6	17968038	17969269	chr6:17968038_17969269	Enhancer	Inactive
chr7	39620396	39622158	chr7:39620396_39622158	Enhancer	Active
chr9	751332	752686	chr9:751332_752686	Enhancer	Active
chr10	91350500	91352021	chr10:91350500_91352021	Enhancer	Active
chr19	18373756	18374776	chr19:18373756_18374776	Enhancer	Inactive
chr13	77521118	77522899	chr13:77521118_77522899	Enhancer	Active
chr14	95507051	95508264	chr14:95507051_95508264	Enhancer	Inactive
chr15	71470998	71471989	chr15:71470998_71471989	Enhancer	Active
chr10	46525136	46525667	chr10:46525136_46525667	Enhancer	Inactive
chr2	129056177	129057322	chr2:129056177_129057322	Enhancer	Active
chr15	74396800	74397805	chr15:74396800_74397805	Enhancer	Active
chrX	45709289	45711048	chrX:45709289_45711048	Enhancer	Active
chr1	8902662	8904316	chr1:8902662_8904316	Enhancer	Inactive
chr15	83305078	83306397	chr15:83305078_83306397	Enhancer	Active
chr8	48521735	48523096	chr8:48521735_48523096	Enhancer	Active
chr22	39290105	39291317	chr22:39290105_39291317	Enhancer	Active
chr1	6587337	6588506	chr1:6587337_6588506	Enhancer	Inactive
chr12	106132986	106134154	chr12:106132986_106134154	Enhancer	Active
chr2	159156696	159158129	chr2:159156696_159158129	Enhancer	Active
chr13	110346543	110348535	chr13:110346543_110348535	Enhancer	Active
chr5	133229623	133230769	chr5:133229623_133230769	Enhancer	Active
chr12	53223884	53224990	chr12:53223884_53224990	CTCF	Active
chr11	121595620	121597213	chr11:121595620_121597213	Enhancer	Active
chr5	141713704	141714981	chr5:141713704_141714981	Enhancer	Active
chr11	94151797	94152796	chr11:94151797_94152796	Enhancer	Inactive
chr10	5550989	5552235	chr10:5550989_5552235	Enhancer	Active
chr14	74569629	74570787	chr14:74569629_74570787	Enhancer	Active
chr6	108689031	108690305	chr6:108689031_108690305	Enhancer	Active
chr9	127555457	127557023	chr9:127555457_127557023	Enhancer	Active
chr2	224145538	224146725	chr2:224145538_224146725	Enhancer	Active
chr10	103745092	103746239	chr10:103745092_103746239	Enhancer	Active
chr6	160041540	160042792	chr6:160041540_160042792	Enhancer	Active
chr2	68093	69763	chr2:68093_69763	Enhancer	Active
chr7	139681905	139682935	chr7:139681905_139682935	Enhancer	Active
chr2	160293338	160294136	chr2:160293338_160294136	Enhancer	Inactive
chr4	80077579	80079109	chr4:80077579_80079109	Enhancer	Active
chr15	52067535	52068572	chr15:52067535_52068572	Enhancer	Active
chr7	155306158	155308009	chr7:155306158_155308009	Enhancer	Inactive
chr20	38143266	38144708	chr20:38143266_38144708	Enhancer	Inactive
chr10	80498415	80499335	chr10:80498415_80499335	Enhancer	Active
chr17	17027863	17028961	chr17:17027863_17028961	Enhancer	Active
chr10	124152123	124154064	chr10:124152123_124154064	Enhancer	Active
chr2	150136362	150137812	chr2:150136362_150137812	Enhancer	Active
chr11	112321342	112322317	chr11:112321342_112322317	Enhancer	Active
chr20	57694366	57695726	chr20:57694366_57695726	Enhancer	Active
chr22	42162613	42163530	chr22:42162613_42163530	Enhancer	Inactive
chr17	75693465	75694350	chr17:75693465_75694350	Enhancer	Active
chr3	43870925	43871767	chr3:43870925_43871767	Enhancer	Inactive
chr3	43872219	43873339	chr3:43872219_43873339	Enhancer	Active
chr3	13857182	13858394	chr3:13857182_13858394	Enhancer	Active
chr13	97125373	97126732	chr13:97125373_97126732	Enhancer	Active
chr1	39959578	39961342	chr1:39959578_39961342	Enhancer	Inactive
chr5	145975200	145976017	chr5:145975200_145976017	Enhancer	Inactive
chr2	112868995	112870069	chr2:112868995_112870069	Enhancer	Active
chr1	9881713	9882800	chr1:9881713_9882800	Enhancer	Inactive
chr2	28643296	28644453	chr2:28643296_28644453	Enhancer	Active
chr9	98222780	98224030	chr9:98222780_98224030	Enhancer	Active
chr15	41940182	41941048	chr15:41940182_41941048	Enhancer	Inactive
chr1	64111692	64112774	chr1:64111692_64112774	Enhancer	Active
chr6	155273315	155274992	chr6:155273315_155274992	Enhancer	Active
chr6	53111822	53113415	chr6:53111822_53113415	Enhancer	Active
chr10	104321888	104322904	chr10:104321888_104322904	Enhancer	Active
chr3	45206607	45208050	chr3:45206607_45208050	Enhancer	Active
chr2	172434700	172436463	chr2:172434700_172436463	Enhancer	Active
chr3	42122252	42123601	chr3:42122252_42123601	Enhancer	Active
chr1	16139302	16140609	chr1:16139302_16140609	Enhancer	Inactive
chr10	114519184	114520191	chr10:114519184_114520191	Enhancer	Active
chr1	202283230	202284445	chr1:202283230_202284445	Enhancer	Active
chr10	110852118	110852787	chr10:110852118_110852787	Enhancer	Inactive
chr7	76983315	76984389	chr7:76983315_76984389	Enhancer	Active
chr8	48706203	48707559	chr8:48706203_48707559	Enhancer	Inactive
chr1	9890257	9891597	chr1:9890257_9891597	Enhancer	Active
chr18	12026493	12028462	chr18:12026493_12028462	Enhancer/Promoter	Inactive
chr8	100258779	100259657	chr8:100258779_100259657	CTCF	Active
chr12	65648456	65649655	chr12:65648456_65649655	Enhancer	Active
chr11	65559651	65560903	chr11:65559651_65560903	Enhancer	Inactive
chr17	82245748	82247223	chr17:82245748_82247223	Enhancer	Active
chr20	1415881	1416801	chr20:1415881_1416801	Enhancer	Active
chr14	34035154	34036525	chr14:34035154_34036525	Enhancer	Active
chr2	101818317	101819557	chr2:101818317_101819557	Enhancer	Active
chr17	72580121	72581419	chr17:72580121_72581419	Enhancer	Active
chr22	30304553	30305362	chr22:30304553_30305362	Enhancer	Inactive
chr2	203758626	203760131	chr2:203758626_203760131	Enhancer	Inactive
chr8	36879780	36881342	chr8:36879780_36881342	Enhancer	Active
chr1	151569555	151570425	chr1:151569555_151570425	Enhancer	Inactive
chr4	15920694	15921787	chr4:15920694_15921787	Enhancer	Active
chr4	182306720	182308255	chr4:182306720_182308255	Enhancer	Active
chr20	45339886	45341479	chr20:45339886_45341479	Enhancer	Inactive
chr22	32819975	32821174	chr22:32819975_32821174	Enhancer	Inactive
chr4	5635110	5636363	chr4:5635110_5636363	Enhancer	Active
chr1	218479704	218481133	chr1:218479704_218481133	Enhancer	Active
chr9	42596204	42597561	chr9:42596204_42597561	Enhancer	Active
chr7	2224322	2225863	chr7:2224322_2225863	Enhancer	Active
chr7	43647854	43649152	chr7:43647854_43649152	Enhancer	Active
chr2	33508	34423	chr2:33508_34423	Enhancer	Inactive
chr1	17232987	17234313	chr1:17232987_17234313	Enhancer	Active
chr2	29066192	29066782	chr2:29066192_29066782	Enhancer	Active
chr18	77088882	77089612	chr18:77088882_77089612	Enhancer	Active
chr3	124793122	124793935	chr3:124793122_124793935	Enhancer	Active
chr11	12182463	12183615	chr11:12182463_12183615	Enhancer	Active
chr22	39213844	39215255	chr22:39213844_39215255	Enhancer/Promoter	Inactive
chr1	16780875	16781537	chr1:16780875_16781537	Enhancer	Inactive
chr2	172447355	172448460	chr2:172447355_172448460	Enhancer	Active
chr5	180799809	180800961	chr5:180799809_180800961	Enhancer	Active
chr11	35143658	35145575	chr11:35143658_35145575	Enhancer	Active
chr18	48022594	48024246	chr18:48022594_48024246	Enhancer	Inactive
chr2	130828432	130829428	chr2:130828432_130829428	Enhancer	Inactive
chr16	30198982	30200024	chr16:30198982_30200024	Enhancer	Inactive
chr2	121699331	121700378	chr2:121699331_121700378	Enhancer	Inactive
chr11	33722427	33723704	chr11:33722427_33723704	Enhancer	Active
chr10	122293728	122294764	chr10:122293728_122294764	Enhancer	Active
chr17	40349230	40350532	chr17:40349230_40350532	Enhancer	Active
chr18	58541040	58542478	chr18:58541040_58542478	Enhancer	Active
chr9	130137970	130139577	chr9:130137970_130139577	Enhancer	Active
chr11	118629705	118630936	chr11:118629705_118630936	Enhancer	Inactive
chr15	31465164	31466180	chr15:31465164_31466180	Enhancer	Active
chr1	202588841	202589692	chr1:202588841_202589692	Enhancer	Active
chr3	69462155	69463206	chr3:69462155_69463206	Enhancer	Active
chr5	148965401	148966809	chr5:148965401_148966809	Enhancer	Active
chr3	16059961	16061310	chr3:16059961_16061310	CTCF	Active
chr7	46568475	46569488	chr7:46568475_46569488	Enhancer	Inactive
chr17	40492887	40494584	chr17:40492887_40494584	Enhancer	Active
chr3	183262659	183263926	chr3:183262659_183263926	Enhancer	Inactive
chr12	57095543	57096808	chr12:57095543_57096808	Enhancer	Active
chr2	9310284	9311857	chr2:9310284_9311857	Enhancer	Active
chr6	36682203	36684172	chr6:36682203_36684172	Enhancer	Active
chr13	33279403	33280880	chr13:33279403_33280880	Enhancer	Active
chr3	123739680	123740798	chr3:123739680_123740798	Enhancer	Active
chr17	64230283	64231349	chr17:64230283_64231349	Enhancer	Active
chr22	46104910	46106509	chr22:46104910_46106509	Enhancer	Active
chr14	90443446	90444753	chr14:90443446_90444753	Enhancer	Active
chr7	116399668	116401102	chr7:116399668_116401102	Enhancer	Active
chr1	112700318	112701220	chr1:112700318_112701220	Enhancer	Active
chr6	45607708	45608955	chr6:45607708_45608955	Enhancer	Active
chr17	14775837	14777297	chr17:14775837_14777297	Enhancer	Active
chr14	74965026	74966275	chr14:74965026_74966275	Enhancer	Active
chr6	44041418	44042480	chr6:44041418_44042480	Enhancer	Inactive
chr5	119274209	119275580	chr5:119274209_119275580	Enhancer	Active
chrX	45757828	45759770	chrX:45757828_45759770	Enhancer	Active
chr16	66618347	66619097	chr16:66618347_66619097	Enhancer	Inactive
chr17	31596169	31597089	chr17:31596169_31597089	Enhancer	Active
chr15	62928130	62929470	chr15:62928130_62929470	Enhancer	Active
chr5	151744868	151745924	chr5:151744868_151745924	Enhancer	Active
chr8	37515113	37515889	chr8:37515113_37515889	Enhancer	Active
chr6	33839929	33841083	chr6:33839929_33841083	Enhancer	Active
chr22	43925553	43926750	chr22:43925553_43926750	Enhancer	Inactive
chr10	77531374	77532486	chr10:77531374_77532486	Enhancer	Inactive
chr2	172836065	172837322	chr2:172836065_172837322	Enhancer	Active
chr13	76889129	76890601	chr13:76889129_76890601	Enhancer	Active
chr13	30743282	30744226	chr13:30743282_30744226	Enhancer	Inactive
chr15	39195826	39196731	chr15:39195826_39196731	Enhancer	Active
chr5	10705499	10706781	chr5:10705499_10706781	Enhancer	Active
chr11	20056065	20057231	chr11:20056065_20057231	Enhancer	Active
chr2	27637763	27639192	chr2:27637763_27639192	Enhancer	Active
chr19	3054766	3056506	chr19:3054766_3056506	Enhancer	Active
chr5	134438125	134438728	chr5:134438125_134438728	Enhancer	Inactive
chr5	67020825	67022208	chr5:67020825_67022208	Enhancer	Active
chr9	33233774	33234661	chr9:33233774_33234661	Enhancer	Active
chr3	64186847	64188075	chr3:64186847_64188075	Enhancer	Active
chr15	64009197	64010131	chr15:64009197_64010131	Enhancer	Active
chr2	95259771	95260791	chr2:95259771_95260791	Enhancer	Active
chr10	69861227	69862311	chr10:69861227_69862311	Enhancer/CTCF	Inactive
chr12	12836523	12837512	chr12:12836523_12837512	CTCF	Active
chr15	70236291	70237306	chr15:70236291_70237306	Enhancer	Active
chr11	86173909	86174781	chr11:86173909_86174781	Enhancer	Active
chr4	128387629	128388693	chr4:128387629_128388693	Enhancer	Inactive
chr7	45033242	45034421	chr7:45033242_45034421	Enhancer	Active
chr22	38298272	38299567	chr22:38298272_38299567	Enhancer	Active
chr17	71921634	71922877	chr17:71921634_71922877	Enhancer	Active
chr10	109912584	109913427	chr10:109912584_109913427	Enhancer	Active
chr14	23114863	23115962	chr14:23114863_23115962	Enhancer	Active
chr18	63604646	63605481	chr18:63604646_63605481	Enhancer	Active
chr2	207253823	207254871	chr2:207253823_207254871	Enhancer	Inactive
chr18	80178674	80179821	chr18:80178674_80179821	Enhancer	Active
chr3	58019278	58020801	chr3:58019278_58020801	Enhancer/CTCF	Inactive
chr8	101158761	101160001	chr8:101158761_101160001	Enhancer	Active
chr3	197366581	197367903	chr3:197366581_197367903	Enhancer	Active
chr13	113913225	113914634	chr13:113913225_113914634	Enhancer	Active
chr3	184656500	184658057	chr3:184656500_184658057	Enhancer	Active
chr20	41232184	41233835	chr20:41232184_41233835	Enhancer	Active
chr16	22614154	22615173	chr16:22614154_22615173	Enhancer	Active
chr2	42950475	42951660	chr2:42950475_42951660	Enhancer	Active
chr4	74428118	74429350	chr4:74428118_74429350	Enhancer	Active
chr1	25568201	25569297	chr1:25568201_25569297	Enhancer	Active
chr7	76476220	76477540	chr7:76476220_76477540	Enhancer	Active
chr6	170178110	170179612	chr6:170178110_170179612	Enhancer	Active
chr22	45804823	45805898	chr22:45804823_45805898	Enhancer	Active
chr9	33458214	33459248	chr9:33458214_33459248	Enhancer	Active
chr10	75224514	75226000	chr10:75224514_75226000	Enhancer	Active
chr5	132094407	132095289	chr5:132094407_132095289	Enhancer	Inactive
chr15	31458636	31459511	chr15:31458636_31459511	Enhancer	Inactive
chr22	27456787	27457841	chr22:27456787_27457841	Enhancer	Active
chr6	134589362	134590908	chr6:134589362_134590908	Enhancer	Active
chr15	67998000	67999779	chr15:67998000_67999779	Enhancer	Inactive
chr14	98501230	98502280	chr14:98501230_98502280	Enhancer	Active
chr7	22572242	22573544	chr7:22572242_22573544	Enhancer	Active
chr1	201289428	201290333	chr1:201289428_201290333	CTCF	Active
chr1	167662906	167663897	chr1:167662906_167663897	Enhancer	Inactive
chr4	15397961	15399265	chr4:15397961_15399265	Enhancer	Active
chr7	1567229	1568432	chr7:1567229_1568432	Enhancer	Active
